Net Asset Value,NAV date
13.4563,01-Jan-13
13.4603,02-Jan-13
13.4665,03-Jan-13
13.4707,04-Jan-13
13.4814,07-Jan-13
13.4843,08-Jan-13
13.4874,09-Jan-13
13.4902,10-Jan-13
13.494,11-Jan-13
13.5054,14-Jan-13
13.5103,15-Jan-13
13.5123,16-Jan-13
13.5166,17-Jan-13
13.5189,18-Jan-13
13.5284,21-Jan-13
13.5316,22-Jan-13
13.535,23-Jan-13
13.5377,24-Jan-13
13.5499,28-Jan-13
13.5542,29-Jan-13
13.5673,30-Jan-13
13.5623,31-Jan-13
13.5593,01-Feb-13
13.5651,04-Feb-13
13.5676,05-Feb-13
13.5714,06-Feb-13
13.5768,07-Feb-13
13.5806,08-Feb-13
13.5895,11-Feb-13
13.5912,12-Feb-13
13.5919,13-Feb-13
13.5882,14-Feb-13
13.5899,15-Feb-13
13.5982,18-Feb-13
13.6062,20-Feb-13
13.6101,21-Feb-13
13.6136,22-Feb-13
13.6224,25-Feb-13
13.6244,26-Feb-13
13.6273,27-Feb-13
13.6289,28-Feb-13
13.6341,01-Mar-13
13.6439,04-Mar-13
13.6471,05-Mar-13
13.6539,06-Mar-13
13.6579,07-Mar-13
13.6607,08-Mar-13
13.67,11-Mar-13
13.6733,12-Mar-13
13.6809,13-Mar-13
13.6966,14-Mar-13
13.7016,15-Mar-13
13.7103,18-Mar-13
13.7089,19-Mar-13
13.7132,20-Mar-13
13.7207,21-Mar-13
13.7278,22-Mar-13
13.7422,25-Mar-13
13.7855,26-Mar-13
13.7937,28-Mar-13
13.8317,02-Apr-13
13.8358,03-Apr-13
13.8414,04-Apr-13
13.8457,05-Apr-13
13.8537,08-Apr-13
13.8564,09-Apr-13
13.8616,10-Apr-13
13.8766,12-Apr-13
13.889,15-Apr-13
13.8973,16-Apr-13
13.9011,17-Apr-13
13.9134,18-Apr-13
13.9273,22-Apr-13
13.9322,23-Apr-13
13.9433,25-Apr-13
13.9461,26-Apr-13
13.9583,29-Apr-13
13.9693,30-Apr-13
13.9927,02-May-13
13.9912,03-May-13
14.0074,06-May-13
14.0123,07-May-13
14.0234,08-May-13
14.0365,09-May-13
14.0395,10-May-13
14.0488,13-May-13
14.0694,14-May-13
14.0852,15-May-13
14.0746,16-May-13
14.081,17-May-13
14.0861,20-May-13
14.1807,21-May-13
14.1798,22-May-13
14.1738,23-May-13
14.1783,24-May-13
14.1845,27-May-13
14.1854,28-May-13
14.1772,29-May-13
14.1803,30-May-13
14.1694,31-May-13
14.307,03-Jun-13
14.3108,04-Jun-13
14.3205,05-Jun-13
14.3165,06-Jun-13
14.3149,07-Jun-13
14.3185,10-Jun-13
14.3049,11-Jun-13
14.302,12-Jun-13
14.3069,13-Jun-13
14.3117,14-Jun-13
14.3329,17-Jun-13
14.3439,18-Jun-13
14.3427,19-Jun-13
14.32,20-Jun-13
14.3159,21-Jun-13
14.3154,24-Jun-13
14.3057,25-Jun-13
14.2937,26-Jun-13
14.2902,27-Jun-13
14.324,28-Jun-13
14.3384,02-Jul-13
14.3237,03-Jul-13
14.3403,04-Jul-13
14.3434,05-Jul-13
14.3372,08-Jul-13
14.3411,09-Jul-13
14.34,10-Jul-13
14.3494,11-Jul-13
14.3511,12-Jul-13
14.351,15-Jul-13
14.1525,16-Jul-13
14.1432,17-Jul-13
14.1858,18-Jul-13
14.2112,19-Jul-13
14.2048,22-Jul-13
14.1547,23-Jul-13
14.0985,24-Jul-13
14.1313,25-Jul-13
14.1585,26-Jul-13
14.1582,29-Jul-13
14.1503,30-Jul-13
14.1409,31-Jul-13
14.1481,01-Aug-13
14.1463,02-Aug-13
14.1802,05-Aug-13
14.168,06-Aug-13
14.1876,07-Aug-13
14.2046,08-Aug-13
14.1925,12-Aug-13
14.17,13-Aug-13
14.1453,14-Aug-13
14.1286,16-Aug-13
14.0401,19-Aug-13
14.0538,20-Aug-13
14.1422,21-Aug-13
14.1225,22-Aug-13
14.1543,23-Aug-13
14.1601,26-Aug-13
14.1176,27-Aug-13
14.064,28-Aug-13
14.08,29-Aug-13
14.1289,30-Aug-13
14.1627,02-Sep-13
14.1733,03-Sep-13
14.209,04-Sep-13
14.2652,05-Sep-13
14.2672,06-Sep-13
14.2906,10-Sep-13
14.3074,11-Sep-13
14.3097,12-Sep-13
14.3058,13-Sep-13
14.3242,16-Sep-13
14.3289,17-Sep-13
14.3537,18-Sep-13
14.3987,19-Sep-13
14.3813,20-Sep-13
