Net Asset Value,NAV date
348.92,01-Jan-13
350.97,02-Jan-13
352.69,03-Jan-13
353.1,04-Jan-13
352.5,07-Jan-13
352.5,08-Jan-13
352.03,09-Jan-13
352.22,10-Jan-13
350.64,11-Jan-13
354.38,14-Jan-13
355.45,15-Jan-13
352.47,16-Jan-13
353.43,17-Jan-13
354.03,18-Jan-13
354.4,21-Jan-13
352.36,22-Jan-13
351.68,23-Jan-13
349.44,24-Jan-13
352.36,25-Jan-13
352.93,28-Jan-13
351.52,29-Jan-13
351.62,30-Jan-13
351.52,31-Jan-13
351.12,01-Feb-13
349.79,04-Feb-13
348.12,05-Feb-13
348.26,06-Feb-13
347.09,07-Feb-13
345.38,08-Feb-13
344.97,11-Feb-13
346.22,12-Feb-13
346.4,13-Feb-13
344.45,14-Feb-13
344.08,15-Feb-13
344.5,18-Feb-13
347.27,19-Feb-13
347.31,20-Feb-13
342.83,21-Feb-13
343.22,22-Feb-13
342.11,25-Feb-13
338.43,26-Feb-13
340.69,27-Feb-13
335.25,28-Feb-13
337.04,01-Mar-13
334.86,04-Mar-13
338.58,05-Mar-13
340.76,06-Mar-13
342.47,07-Mar-13
345.56,08-Mar-13
346.12,11-Mar-13
344.45,12-Mar-13
341.11,13-Mar-13
343.73,14-Mar-13
341.35,15-Mar-13
339.6,18-Mar-13
335.33,19-Mar-13
331.69,20-Mar-13
329.93,21-Mar-13
329.38,22-Mar-13
328.8,25-Mar-13
329.1,26-Mar-13
331.9,28-Mar-13
333.18,01-Apr-13
335.99,02-Apr-13
333.31,03-Apr-13
329.58,04-Apr-13
329.42,05-Apr-13
329.24,08-Apr-13
327.57,09-Apr-13
329.7,10-Apr-13
330.94,11-Apr-13
328.89,12-Apr-13
330.4,15-Apr-13
334.37,16-Apr-13
335.15,17-Apr-13
338.63,18-Apr-13
341.45,22-Apr-13
341.87,23-Apr-13
345.27,25-Apr-13
343.57,26-Apr-13
345.38,29-Apr-13
346.02,30-Apr-13
348.59,02-May-13
346.81,03-May-13
348.08,06-May-13
350.58,07-May-13
350.85,08-May-13
350.48,09-May-13
352.11,10-May-13
348.45,13-May-13
349.33,14-May-13
354.55,15-May-13
355.76,16-May-13
356.35,17-May-13
354.71,20-May-13
352.58,21-May-13
351.34,22-May-13
346.24,23-May-13
346.88,24-May-13
350.76,27-May-13
352.04,28-May-13
350.65,29-May-13
350.94,30-May-13
346.97,31-May-13
346.43,03-Jun-13
345.74,04-Jun-13
346.33,05-Jun-13
346.64,06-Jun-13
344.41,07-Jun-13
342.69,10-Jun-13
339.13,11-Jun-13
338.24,12-Jun-13
335.64,13-Jun-13
339.49,14-Jun-13
341.4,17-Jun-13
340.18,18-Jun-13
340.83,19-Jun-13
334.28,20-Jun-13
333.89,21-Jun-13
330.39,24-Jun-13
330.09,25-Jun-13
329.42,26-Jun-13
332.07,27-Jun-13
338.42,28-Jun-13
341.39,01-Jul-13
340.36,02-Jul-13
336.84,03-Jul-13
339.3,04-Jul-13
340.31,05-Jul-13
338.34,08-Jul-13
340.47,09-Jul-13
339.02,10-Jul-13
342.56,11-Jul-13
344.7,12-Jul-13
345.61,15-Jul-13
339.62,16-Jul-13
338.35,17-Jul-13
340.57,18-Jul-13
340.09,19-Jul-13
339.42,22-Jul-13
340.67,23-Jul-13
336.74,24-Jul-13
334.91,25-Jul-13
335.26,26-Jul-13
333.8,29-Jul-13
330.57,30-Jul-13
330.04,31-Jul-13
327.76,01-Aug-13
325.92,02-Aug-13
326.79,05-Aug-13
321.3,06-Aug-13
320.72,07-Aug-13
322.88,08-Aug-13
325.46,12-Aug-13
328.13,13-Aug-13
329.06,14-Aug-13
321.17,16-Aug-13
316.41,19-Aug-13
316.6,20-Aug-13
314.56,21-Aug-13
318.15,22-Aug-13
320.71,23-Aug-13
322.2,26-Aug-13
315.7,27-Aug-13
314.91,28-Aug-13
319.81,29-Aug-13
322.68,30-Aug-13
324.63,02-Sep-13
318.46,03-Sep-13
322.41,04-Sep-13
326.09,05-Sep-13
328.89,06-Sep-13
336.72,10-Sep-13
337.5,11-Sep-13
335.38,12-Sep-13
334.76,13-Sep-13
334.78,16-Sep-13
335.35,17-Sep-13
336.71,18-Sep-13
343.79,19-Sep-13
341.14,20-Sep-13
336.75,23-Sep-13
337.04,24-Sep-13
336.82,25-Sep-13
337.61,26-Sep-13
337.03,27-Sep-13
335.21,30-Sep-13
336.29,01-Oct-13
341.53,03-Oct-13
342.29,04-Oct-13
343.03,07-Oct-13
344.25,08-Oct-13
347.52,09-Oct-13
348.56,10-Oct-13
350.6,11-Oct-13
350.77,14-Oct-13
349.46,15-Oct-13
347.88,17-Oct-13
353.14,18-Oct-13
354.07,21-Oct-13
353.96,22-Oct-13
353.34,23-Oct-13
352.61,24-Oct-13
352.02,25-Oct-13
350.38,28-Oct-13
354.71,29-Oct-13
356.79,30-Oct-13
358.31,31-Oct-13
358.7,01-Nov-13
358.04,05-Nov-13
356.98,06-Nov-13
355.79,07-Nov-13
354.59,08-Nov-13
352.54,11-Nov-13
351.09,12-Nov-13
349.64,13-Nov-13
352.36,14-Nov-13
356.5,18-Nov-13
357.28,19-Nov-13
354.64,20-Nov-13
350.36,21-Nov-13
350.5,22-Nov-13
354.25,25-Nov-13
352.74,26-Nov-13
352.6,27-Nov-13
353.81,28-Nov-13
356.78,29-Nov-13
359,02-Dec-13
358.17,03-Dec-13
356.74,04-Dec-13
359.02,05-Dec-13
360.07,06-Dec-13
363.63,09-Dec-13
362.46,10-Dec-13
361.98,11-Dec-13
360,12-Dec-13
357.03,13-Dec-13
357.45,16-Dec-13
358.2,17-Dec-13
361.81,18-Dec-13
361.06,19-Dec-13
364.98,20-Dec-13
365.64,23-Dec-13
365.33,24-Dec-13
366.07,26-Dec-13
367,27-Dec-13
366.32,30-Dec-13
367.19,31-Dec-13
367.23,01-Jan-14
363.69,02-Jan-14
364.09,03-Jan-14
363.56,06-Jan-14
362.75,07-Jan-14
363.45,08-Jan-14
362.56,09-Jan-14
362.3,10-Jan-14
365.24,13-Jan-14
364.46,14-Jan-14
366.68,15-Jan-14
366.67,16-Jan-14
363.73,17-Jan-14
366.03,20-Jan-14
367.12,21-Jan-14
367.93,22-Jan-14
367.47,23-Jan-14
364.27,24-Jan-14
358.34,27-Jan-14
357.81,28-Jan-14
356.8,29-Jan-14
354.97,30-Jan-14
357.52,31-Jan-14
354.48,03-Feb-14
354.98,04-Feb-14
356.67,05-Feb-14
356.8,06-Feb-14
357.94,07-Feb-14
358.3,10-Feb-14
359.42,11-Feb-14
360.62,12-Feb-14
356.89,13-Feb-14
358.44,14-Feb-14
358.67,17-Feb-14
360.47,18-Feb-14
361.95,19-Feb-14
360,20-Feb-14
