Net Asset Value,NAV date
10.01,16-Aug-18
10.01,17-Aug-18
10.02,20-Aug-18
10.01,21-Aug-18
10.02,23-Aug-18
10.01,24-Aug-18
10.03,27-Aug-18
10.04,28-Aug-18
10.03,29-Aug-18
10.02,30-Aug-18
10.02,31-Aug-18
9.98,03-Sep-18
9.94,04-Sep-18
9.92,05-Sep-18
9.93,06-Sep-18
9.94,07-Sep-18
9.87,10-Sep-18
9.81,11-Sep-18
9.83,12-Sep-18
9.89,14-Sep-18
9.83,17-Sep-18
9.8,18-Sep-18
9.77,19-Sep-18
9.72,21-Sep-18
9.61,24-Sep-18
9.66,25-Sep-18
9.64,26-Sep-18
9.6,27-Sep-18
9.59,28-Sep-18
9.58,01-Oct-18
9.49,03-Oct-18
9.38,04-Oct-18
9.3,05-Oct-18
9.31,08-Oct-18
9.3,09-Oct-18
9.4,10-Oct-18
9.27,11-Oct-18
9.4,12-Oct-18
9.41,15-Oct-18
9.43,16-Oct-18
9.36,17-Oct-18
9.29,19-Oct-18
9.27,22-Oct-18
9.2,23-Oct-18
9.25,24-Oct-18
9.21,25-Oct-18
9.18,26-Oct-18
9.25,29-Oct-18
9.24,30-Oct-18
9.35,31-Oct-18
9.36,01-Nov-18
9.49,02-Nov-18
9.48,05-Nov-18
9.48,06-Nov-18
9.52,09-Nov-18
9.46,12-Nov-18
9.52,13-Nov-18
9.49,14-Nov-18
9.55,15-Nov-18
9.6,16-Nov-18
9.63,19-Nov-18
9.58,20-Nov-18
9.56,21-Nov-18
9.53,22-Nov-18
9.58,26-Nov-18
9.63,27-Nov-18
9.67,28-Nov-18
9.75,29-Nov-18
9.79,30-Nov-18
9.79,03-Dec-18
9.78,04-Dec-18
9.72,05-Dec-18
9.62,06-Dec-18
9.69,07-Dec-18
9.56,10-Dec-18
9.61,11-Dec-18
9.73,12-Dec-18
9.78,13-Dec-18
9.79,14-Dec-18
9.83,17-Dec-18
9.86,18-Dec-18
9.89,19-Dec-18
9.89,20-Dec-18
9.78,21-Dec-18
9.7,24-Dec-18
9.74,26-Dec-18
9.75,27-Dec-18
9.81,28-Dec-18
9.83,31-Dec-18
9.85,01-Jan-19
9.79,02-Jan-19
9.73,03-Jan-19
9.72,04-Jan-19
9.72,07-Jan-19
9.69,08-Jan-19
9.72,09-Jan-19
9.72,10-Jan-19
9.69,11-Jan-19
9.63,14-Jan-19
9.71,15-Jan-19
9.69,16-Jan-19
9.7,17-Jan-19
9.7,18-Jan-19
9.72,21-Jan-19
9.72,22-Jan-19
9.67,23-Jan-19
9.66,24-Jan-19
9.61,25-Jan-19
9.52,28-Jan-19
9.51,29-Jan-19
9.49,30-Jan-19
9.56,31-Jan-19
9.62,01-Feb-19
9.65,04-Feb-19
9.66,05-Feb-19
9.76,06-Feb-19
9.79,07-Feb-19
9.74,08-Feb-19
9.7,11-Feb-19
9.67,12-Feb-19
9.65,13-Feb-19
9.61,14-Feb-19
9.57,15-Feb-19
9.5,18-Feb-19
9.47,19-Feb-19
9.55,20-Feb-19
9.59,21-Feb-19
9.58,22-Feb-19
9.67,25-Feb-19
9.64,26-Feb-19
9.62,27-Feb-19
9.61,28-Feb-19
9.64,01-Mar-19
9.7,05-Mar-19
