Net Asset Value,NAV date
14.9149,01-Jan-13
15.0251,02-Jan-13
15.0732,03-Jan-13
15.0695,04-Jan-13
15.037,07-Jan-13
15.057,08-Jan-13
14.994,09-Jan-13
15.0087,10-Jan-13
14.8358,11-Jan-13
14.9228,14-Jan-13
14.9415,15-Jan-13
14.8355,16-Jan-13
14.7815,17-Jan-13
14.7654,18-Jan-13
14.7231,21-Jan-13
14.6771,22-Jan-13
14.6657,23-Jan-13
14.5841,24-Jan-13
14.742,25-Jan-13
14.7486,28-Jan-13
14.7659,29-Jan-13
14.7417,30-Jan-13
14.7035,31-Jan-13
14.6678,01-Feb-13
14.6757,04-Feb-13
14.6125,05-Feb-13
14.6722,06-Feb-13
14.6517,07-Feb-13
14.5836,08-Feb-13
14.5173,11-Feb-13
14.5227,12-Feb-13
14.5783,13-Feb-13
14.4723,14-Feb-13
14.434,15-Feb-13
14.4579,18-Feb-13
14.5773,19-Feb-13
14.5815,20-Feb-13
14.3819,21-Feb-13
14.4102,22-Feb-13
14.3682,25-Feb-13
14.1722,26-Feb-13
14.2548,27-Feb-13
14.0762,28-Feb-13
14.2044,01-Mar-13
14.1193,04-Mar-13
14.2716,05-Mar-13
14.333,06-Mar-13
14.4576,07-Mar-13
14.6619,08-Mar-13
14.6929,11-Mar-13
14.6518,12-Mar-13
14.5002,13-Mar-13
14.6303,14-Mar-13
14.611,15-Mar-13
14.5317,18-Mar-13
14.3359,19-Mar-13
14.153,20-Mar-13
14.0897,21-Mar-13
14.0247,22-Mar-13
13.9814,25-Mar-13
14.0547,26-Mar-13
14.1584,28-Mar-13
14.1846,01-Apr-13
14.3283,02-Apr-13
14.2443,03-Apr-13
14.0119,04-Apr-13
14.0011,05-Apr-13
0,07-Apr-13
13.9745,08-Apr-13
13.8908,09-Apr-13
13.934,10-Apr-13
14.05,11-Apr-13
13.993,12-Apr-13
13.9345,15-Apr-13
14.1917,16-Apr-13
14.2147,17-Apr-13
14.3868,18-Apr-13
14.5703,22-Apr-13
14.524,23-Apr-13
14.701,25-Apr-13
14.6479,26-Apr-13
14.7693,29-Apr-13
14.8341,30-Apr-13
15.0412,02-May-13
14.9896,03-May-13
15.0859,06-May-13
15.2056,07-May-13
15.2942,08-May-13
15.1979,09-May-13
15.2696,10-May-13
15.0618,13-May-13
15.1665,14-May-13
15.4927,15-May-13
15.5222,16-May-13
15.6107,17-May-13
15.525,20-May-13
15.4042,21-May-13
15.3376,22-May-13
15.1486,23-May-13
15.2875,24-May-13
15.4341,27-May-13
15.4886,28-May-13
15.5244,29-May-13
15.5846,30-May-13
15.3583,31-May-13
15.1822,03-Jun-13
15.1383,04-Jun-13
15.1692,05-Jun-13
15.1625,06-Jun-13
15.1248,07-Jun-13
15.0595,10-Jun-13
14.8301,11-Jun-13
14.7764,12-Jun-13
14.6178,13-Jun-13
14.8081,14-Jun-13
14.883,17-Jun-13
14.8715,18-Jun-13
14.9386,19-Jun-13
14.6474,20-Jun-13
14.6493,21-Jun-13
14.39,24-Jun-13
14.4131,25-Jun-13
14.3851,26-Jun-13
14.5037,27-Jun-13
14.8481,28-Jun-13
14.9786,01-Jul-13
14.9546,02-Jul-13
14.8021,03-Jul-13
14.9976,04-Jul-13
15.0599,05-Jul-13
14.9762,08-Jul-13
15.1849,09-Jul-13
15.1835,10-Jul-13
15.3799,11-Jul-13
15.5102,12-Jul-13
15.5677,15-Jul-13
15.3186,16-Jul-13
15.2631,17-Jul-13
15.3629,18-Jul-13
15.2501,19-Jul-13
15.224,22-Jul-13
15.2565,23-Jul-13
15.0908,24-Jul-13
14.9336,25-Jul-13
14.9324,26-Jul-13
14.8378,29-Jul-13
14.7138,30-Jul-13
14.6645,31-Jul-13
14.6591,01-Aug-13
14.5718,02-Aug-13
14.5822,05-Aug-13
14.2719,06-Aug-13
14.1436,07-Aug-13
14.2973,08-Aug-13
14.4862,12-Aug-13
14.6717,13-Aug-13
14.7065,14-Aug-13
14.2875,16-Aug-13
14.0087,19-Aug-13
13.9026,20-Aug-13
13.7328,21-Aug-13
13.8016,22-Aug-13
13.9717,23-Aug-13
14.0737,26-Aug-13
13.6682,27-Aug-13
13.5392,28-Aug-13
13.8045,29-Aug-13
14.0531,30-Aug-13
14.1385,02-Sep-13
13.8054,03-Sep-13
13.9137,04-Sep-13
14.2136,05-Sep-13
14.328,06-Sep-13
14.7567,10-Sep-13
14.8404,11-Sep-13
14.7782,12-Sep-13
14.7858,13-Sep-13
14.7719,16-Sep-13
14.7974,17-Sep-13
14.8858,18-Sep-13
15.2852,19-Sep-13
15.0965,20-Sep-13
14.8857,23-Sep-13
14.9545,24-Sep-13
14.8868,25-Sep-13
14.8704,26-Sep-13
14.8289,27-Sep-13
14.7223,30-Sep-13
14.8442,01-Oct-13
15.0761,03-Oct-13
15.1508,04-Oct-13
15.226,07-Oct-13
15.2684,08-Oct-13
15.4883,09-Oct-13
15.5236,10-Oct-13
15.6193,11-Oct-13
15.6095,14-Oct-13
15.5562,15-Oct-13
15.4223,17-Oct-13
15.6558,18-Oct-13
15.7625,21-Oct-13
15.75,22-Oct-13
15.7404,23-Oct-13
15.8134,24-Oct-13
15.7396,25-Oct-13
15.6911,28-Oct-13
16.027,29-Oct-13
16.0483,30-Oct-13
16.1406,31-Oct-13
16.1621,01-Nov-13
16.1507,05-Nov-13
16.2131,06-Nov-13
16.175,07-Nov-13
16.135,08-Nov-13
16.1039,11-Nov-13
16.1006,12-Nov-13
16.0339,13-Nov-13
16.124,14-Nov-13
16.382,18-Nov-13
16.3923,19-Nov-13
16.3033,20-Nov-13
16.0544,21-Nov-13
16.1497,22-Nov-13
16.4284,25-Nov-13
16.4643,26-Nov-13
16.5535,27-Nov-13
16.6142,28-Nov-13
16.7237,29-Nov-13
16.8698,02-Dec-13
16.8694,03-Dec-13
16.7131,04-Dec-13
16.8288,05-Dec-13
16.8578,06-Dec-13
16.9922,09-Dec-13
16.9778,10-Dec-13
17.0077,11-Dec-13
16.9684,12-Dec-13
16.8217,13-Dec-13
16.8138,16-Dec-13
16.799,17-Dec-13
16.9886,18-Dec-13
16.9483,19-Dec-13
17.1826,20-Dec-13
17.163,23-Dec-13
17.1252,24-Dec-13
17.1314,26-Dec-13
17.2672,27-Dec-13
17.2276,30-Dec-13
17.2642,31-Dec-13
17.2963,01-Jan-14
17.0836,02-Jan-14
17.1423,03-Jan-14
17.2063,06-Jan-14
17.1762,07-Jan-14
17.2719,08-Jan-14
17.2284,09-Jan-14
17.1785,10-Jan-14
17.3197,13-Jan-14
17.2782,14-Jan-14
17.4412,15-Jan-14
17.3809,16-Jan-14
17.1173,17-Jan-14
17.2556,20-Jan-14
17.2368,21-Jan-14
17.2477,22-Jan-14
17.2805,23-Jan-14
17.0525,24-Jan-14
16.7732,27-Jan-14
16.727,28-Jan-14
16.7546,29-Jan-14
16.6539,30-Jan-14
16.7871,31-Jan-14
16.6852,03-Feb-14
16.7062,04-Feb-14
16.7812,05-Feb-14
16.7926,06-Feb-14
16.8515,07-Feb-14
16.824,10-Feb-14
16.8969,11-Feb-14
16.9621,12-Feb-14
16.7751,13-Feb-14
16.9041,14-Feb-14
16.9328,17-Feb-14
17.1498,18-Feb-14
17.2588,19-Feb-14
17.1636,20-Feb-14
17.3345,21-Feb-14
17.4797,24-Feb-14
17.5456,25-Feb-14
17.6366,26-Feb-14
17.7884,28-Feb-14
17.7132,03-Mar-14
17.8496,04-Mar-14
17.9594,05-Mar-14
18.119,06-Mar-14
18.2697,07-Mar-14
18.3252,10-Mar-14
18.3204,11-Mar-14
18.4267,12-Mar-14
18.4081,13-Mar-14
18.4351,14-Mar-14
18.5574,18-Mar-14
18.6079,19-Mar-14
18.5705,20-Mar-14
18.5913,21-Mar-14
18.8168,24-Mar-14
18.915,25-Mar-14
18.8911,26-Mar-14
18.9293,27-Mar-14
19.0562,28-Mar-14
19.1711,31-Mar-14
19.0342,01-Apr-14
19.1028,02-Apr-14
19.0843,03-Apr-14
18.9793,04-Apr-14
18.9769,07-Apr-14
19.2241,09-Apr-14
19.223,10-Apr-14
19.187,11-Apr-14
19.1488,15-Apr-14
18.9473,16-Apr-14
19.1553,17-Apr-14
19.3013,21-Apr-14
19.3845,22-Apr-14
19.5593,23-Apr-14
19.3944,25-Apr-14
19.4614,28-Apr-14
19.3645,29-Apr-14
19.2831,30-Apr-14
19.3047,02-May-14
19.3174,05-May-14
19.3632,06-May-14
19.3403,07-May-14
19.4051,08-May-14
19.7918,09-May-14
20.1057,12-May-14
20.2355,13-May-14
20.1583,14-May-14
20.1764,15-May-14
20.3673,16-May-14
20.6684,19-May-14
20.7972,20-May-14
20.9063,21-May-14
21.1328,22-May-14
21.2883,23-May-14
21.1788,26-May-14
21.2343,27-May-14
21.2184,28-May-14
21.0965,29-May-14
21.2371,30-May-14
21.5811,02-Jun-14
21.7456,03-Jun-14
21.8366,04-Jun-14
21.9522,05-Jun-14
22.1617,06-Jun-14
22.3706,09-Jun-14
22.5567,10-Jun-14
22.3753,11-Jun-14
22.5312,12-Jun-14
22.2797,13-Jun-14
22.2722,16-Jun-14
22.5762,17-Jun-14
22.5709,18-Jun-14
22.4561,19-Jun-14
22.3282,20-Jun-14
22.3487,23-Jun-14
22.4787,24-Jun-14
22.4743,25-Jun-14
22.4684,26-Jun-14
22.6611,27-Jun-14
23.0019,30-Jun-14
23.246,01-Jul-14
23.6006,02-Jul-14
23.7785,03-Jul-14
23.8749,04-Jul-14
23.8512,07-Jul-14
23.3037,08-Jul-14
23.0207,09-Jul-14
23.1018,10-Jul-14
22.826,11-Jul-14
22.7945,14-Jul-14
23.1817,15-Jul-14
23.4767,16-Jul-14
23.7953,17-Jul-14
23.8339,18-Jul-14
23.8918,21-Jul-14
23.9777,22-Jul-14
23.902,23-Jul-14
23.9527,24-Jul-14
23.9687,25-Jul-14
23.938,28-Jul-14
24.0476,30-Jul-14
23.9015,31-Jul-14
23.4946,01-Aug-14
23.6701,04-Aug-14
23.8548,05-Aug-14
23.8021,06-Aug-14
23.7329,07-Aug-14
23.4484,08-Aug-14
23.6342,11-Aug-14
23.8865,12-Aug-14
23.9325,13-Aug-14
24.0627,14-Aug-14
24.2908,18-Aug-14
24.5605,19-Aug-14
24.6379,20-Aug-14
24.7883,21-Aug-14
24.8903,22-Aug-14
25.019,25-Aug-14
25.0049,26-Aug-14
25.1537,27-Aug-14
25.1531,28-Aug-14
25.3599,01-Sep-14
25.6099,02-Sep-14
25.7922,03-Sep-14
25.8179,04-Sep-14
25.855,05-Sep-14
26.1567,08-Sep-14
26.1982,09-Sep-14
26.1573,10-Sep-14
26.4066,11-Sep-14
26.4784,12-Sep-14
26.3856,15-Sep-14
25.7513,16-Sep-14
25.7669,17-Sep-14
26.1946,18-Sep-14
26.3938,19-Sep-14
26.3048,22-Sep-14
25.9436,23-Sep-14
25.7778,24-Sep-14
25.5067,25-Sep-14
25.656,26-Sep-14
