Net Asset Value,NAV date
12.02,01-Jan-13
12.12,02-Jan-13
12.14,03-Jan-13
12.15,04-Jan-13
12.11,07-Jan-13
12.12,08-Jan-13
12.08,09-Jan-13
12.06,10-Jan-13
12.01,11-Jan-13
12.13,14-Jan-13
12.19,15-Jan-13
12.07,16-Jan-13
12.13,17-Jan-13
12.21,18-Jan-13
12.24,21-Jan-13
12.17,22-Jan-13
12.16,23-Jan-13
12.07,24-Jan-13
12.17,25-Jan-13
12.16,28-Jan-13
12.1,29-Jan-13
12.12,30-Jan-13
12.09,31-Jan-13
12.04,01-Feb-13
11.99,04-Feb-13
11.93,05-Feb-13
11.93,06-Feb-13
11.88,07-Feb-13
11.8,08-Feb-13
11.79,11-Feb-13
11.85,12-Feb-13
11.86,13-Feb-13
11.76,14-Feb-13
11.74,15-Feb-13
11.76,18-Feb-13
11.85,19-Feb-13
11.85,20-Feb-13
11.67,21-Feb-13
11.67,22-Feb-13
11.67,25-Feb-13
11.49,26-Feb-13
11.59,27-Feb-13
11.37,28-Feb-13
11.44,01-Mar-13
11.41,04-Mar-13
11.57,05-Mar-13
11.64,06-Mar-13
11.72,07-Mar-13
11.86,08-Mar-13
11.85,11-Mar-13
11.8,12-Mar-13
11.66,13-Mar-13
11.79,14-Mar-13
11.72,15-Mar-13
11.66,18-Mar-13
11.5,19-Mar-13
11.38,20-Mar-13
11.33,21-Mar-13
11.3,22-Mar-13
11.28,25-Mar-13
11.3,26-Mar-13
11.38,28-Mar-13
11.42,01-Apr-13
11.51,02-Apr-13
11.39,03-Apr-13
11.21,04-Apr-13
11.18,05-Apr-13
11.16,08-Apr-13
11.08,09-Apr-13
11.21,10-Apr-13
11.29,11-Apr-13
11.19,12-Apr-13
11.29,15-Apr-13
11.47,16-Apr-13
11.47,17-Apr-13
11.63,18-Apr-13
11.72,22-Apr-13
11.72,23-Apr-13
11.84,25-Apr-13
11.74,26-Apr-13
11.81,29-Apr-13
11.88,30-Apr-13
12.04,02-May-13
11.92,03-May-13
11.97,06-May-13
12.08,07-May-13
12.13,08-May-13
12.11,09-May-13
12.19,10-May-13
12,13-May-13
12.03,14-May-13
12.3,15-May-13
12.36,16-May-13
12.38,17-May-13
12.29,20-May-13
12.21,21-May-13
12.16,22-May-13
11.93,23-May-13
11.96,24-May-13
12.15,27-May-13
12.2,28-May-13
12.18,29-May-13
12.21,30-May-13
11.94,31-May-13
11.88,03-Jun-13
11.87,04-Jun-13
11.87,05-Jun-13
11.88,06-Jun-13
11.8,07-Jun-13
11.77,10-Jun-13
11.59,11-Jun-13
11.56,12-Jun-13
11.42,13-Jun-13
11.63,14-Jun-13
11.7,17-Jun-13
11.65,18-Jun-13
11.68,19-Jun-13
11.37,20-Jun-13
11.36,21-Jun-13
11.21,24-Jun-13
11.22,25-Jun-13
11.2,26-Jun-13
11.37,27-Jun-13
11.62,28-Jun-13
11.77,01-Jul-13
11.69,02-Jul-13
11.56,03-Jul-13
11.68,04-Jul-13
11.7,05-Jul-13
11.64,08-Jul-13
11.74,09-Jul-13
11.68,10-Jul-13
11.84,11-Jul-13
11.99,12-Jul-13
12.05,15-Jul-13
11.96,16-Jul-13
11.96,17-Jul-13
12.06,18-Jul-13
12.03,19-Jul-13
12.03,22-Jul-13
12.08,23-Jul-13
11.98,24-Jul-13
11.9,25-Jul-13
11.89,26-Jul-13
11.82,29-Jul-13
11.69,30-Jul-13
11.71,31-Jul-13
11.67,01-Aug-13
11.59,02-Aug-13
11.62,05-Aug-13
11.38,06-Aug-13
11.31,07-Aug-13
11.37,08-Aug-13
11.47,12-Aug-13
11.64,13-Aug-13
11.72,14-Aug-13
11.37,16-Aug-13
11.2,19-Aug-13
11.15,20-Aug-13
10.95,21-Aug-13
11.1,22-Aug-13
11.18,23-Aug-13
11.22,26-Aug-13
10.93,27-Aug-13
10.92,28-Aug-13
11.12,29-Aug-13
