Net Asset Value,NAV date
238.3444,01-Jan-13
239.4819,02-Jan-13
240.4495,03-Jan-13
240.8853,04-Jan-13
240.7141,07-Jan-13
240.9102,08-Jan-13
240.8127,09-Jan-13
240.295,10-Jan-13
239.8367,11-Jan-13
242.7866,14-Jan-13
244.046,15-Jan-13
241.9358,16-Jan-13
243.745,17-Jan-13
243.8667,18-Jan-13
244.2003,21-Jan-13
243.1072,22-Jan-13
243.6746,23-Jan-13
241.7321,24-Jan-13
243.516,25-Jan-13
243.5067,28-Jan-13
242.105,29-Jan-13
242.2025,30-Jan-13
241.3817,31-Jan-13
240.7152,01-Feb-13
239.8561,04-Feb-13
238.8297,05-Feb-13
238.6343,06-Feb-13
237.7795,07-Feb-13
236.2349,08-Feb-13
235.9681,11-Feb-13
237.4089,12-Feb-13
237.6382,13-Feb-13
235.782,14-Feb-13
235.456,15-Feb-13
235.3713,18-Feb-13
236.9029,19-Feb-13
236.817,20-Feb-13
233.0814,21-Feb-13
234.3389,22-Feb-13
233.8324,25-Feb-13
231.132,26-Feb-13
232.5307,27-Feb-13
229.2176,28-Feb-13
229.7126,01-Mar-13
229.3295,04-Mar-13
232.896,05-Mar-13
234.1131,06-Mar-13
234.9129,07-Mar-13
237.3713,08-Mar-13
236.8093,11-Mar-13
235.6346,12-Mar-13
233.0631,13-Mar-13
234.6585,14-Mar-13
232.8194,15-Mar-13
230.979,18-Mar-13
227.5497,19-Mar-13
225.2348,20-Mar-13
225.0917,21-Mar-13
224.2776,22-Mar-13
223.4879,25-Mar-13
223.6137,26-Mar-13
225.3407,28-Mar-13
226.408,01-Apr-13
228.2562,02-Apr-13
225.7412,03-Apr-13
223.1251,04-Apr-13
222.8845,05-Apr-13
223.1089,08-Apr-13
221.0853,09-Apr-13
222.7449,10-Apr-13
223.5959,11-Apr-13
220.2514,12-Apr-13
221.01,15-Apr-13
224.9355,16-Apr-13
225.1989,17-Apr-13
228.0866,18-Apr-13
229.9422,22-Apr-13
230.225,23-Apr-13
232.8779,25-Apr-13
231.9102,26-Apr-13
233.1542,29-Apr-13
234.0849,30-Apr-13
235.3809,02-May-13
234.0606,03-May-13
235.1752,06-May-13
237.3567,07-May-13
237.253,08-May-13
236.4687,09-May-13
238.2106,10-May-13
235.2131,13-May-13
235.6859,14-May-13
240.0919,15-May-13
241.4181,16-May-13
241.5197,17-May-13
239.6869,20-May-13
237.8174,21-May-13
237.522,22-May-13
233.0391,23-May-13
233.9203,24-May-13
237.2646,27-May-13
238.6127,28-May-13
237.6125,29-May-13
238.1313,30-May-13
234.0478,31-May-13
233.4106,03-Jun-13
233.6023,04-Jun-13
233.6829,05-Jun-13
232.7931,06-Jun-13
231.4745,07-Jun-13
230.6384,10-Jun-13
227.1466,11-Jun-13
226.8852,12-Jun-13
225.2686,13-Jun-13
228.3981,14-Jun-13
229.5347,17-Jun-13
228.52,18-Jun-13
229.0421,19-Jun-13
223.3068,20-Jun-13
223.5472,21-Jun-13
220.0327,24-Jun-13
220.8847,25-Jun-13
219.3959,26-Jun-13
221.9709,27-Jun-13
227.6706,28-Jun-13
229.7312,01-Jul-13
229.1923,02-Jul-13
225.2933,03-Jul-13
227.0878,04-Jul-13
227.2754,05-Jul-13
225.5918,08-Jul-13
227.2886,09-Jul-13
225.9146,10-Jul-13
229.7091,11-Jul-13
232.5747,12-Jul-13
233.233,15-Jul-13
229.9253,16-Jul-13
228.3663,17-Jul-13
231.0334,18-Jul-13
230.8663,19-Jul-13
230.931,22-Jul-13
231.5315,23-Jul-13
227.9558,24-Jul-13
225.6543,25-Jul-13
224.2592,26-Jul-13
222.7929,29-Jul-13
219.095,30-Jul-13
220.6252,31-Jul-13
219.8634,01-Aug-13
217.3099,02-Aug-13
217.3282,05-Aug-13
212.0565,06-Aug-13
213.3709,07-Aug-13
214.3731,08-Aug-13
216.1731,12-Aug-13
219.806,13-Aug-13
220.8588,14-Aug-13
213.0413,16-Aug-13
209.4265,19-Aug-13
209.8167,20-Aug-13
206.6277,21-Aug-13
210.5079,22-Aug-13
211.9626,23-Aug-13
212.3935,26-Aug-13
206.2761,27-Aug-13
205.0084,28-Aug-13
209.3401,29-Aug-13
210.4382,30-Aug-13
212.4222,02-Sep-13
205.9001,03-Sep-13
210.0975,04-Sep-13
215.603,05-Sep-13
219.9959,06-Sep-13
225.8265,10-Sep-13
227.1934,11-Sep-13
224.2199,12-Sep-13
224.7368,13-Sep-13
225.9431,16-Sep-13
226.7112,17-Sep-13
228.4765,18-Sep-13
236.5503,19-Sep-13
232.814,20-Sep-13
228.6517,23-Sep-13
228.1085,24-Sep-13
227.7795,25-Sep-13
227.5977,26-Sep-13
225.8336,27-Sep-13
222.2478,30-Sep-13
223.4251,01-Oct-13
227.812,03-Oct-13
227.5894,04-Oct-13
226.8827,07-Oct-13
228.1504,08-Oct-13
230.9109,09-Oct-13
231.5275,10-Oct-13
234.0038,11-Oct-13
234.9894,14-Oct-13
233.7304,15-Oct-13
232.9481,17-Oct-13
237.8515,18-Oct-13
239.4052,21-Oct-13
239.4743,22-Oct-13
238.334,23-Oct-13
237.7135,24-Oct-13
237.1436,25-Oct-13
235.5454,28-Oct-13
240.1302,29-Oct-13
242.2974,30-Oct-13
243.8513,31-Oct-13
244.9346,01-Nov-13
244.1628,05-Nov-13
243.3103,06-Nov-13
241.3925,07-Nov-13
239.8703,08-Nov-13
237.5859,11-Nov-13
235.5475,12-Nov-13
234.3607,13-Nov-13
236.9451,14-Nov-13
240.8781,18-Nov-13
241.7588,19-Nov-13
239.0091,20-Nov-13
235.0019,21-Nov-13
235.4572,22-Nov-13
238.691,25-Nov-13
236.7103,26-Nov-13
236.425,27-Nov-13
238.1932,28-Nov-13
240.7292,29-Nov-13
242.0036,02-Dec-13
241.4912,03-Dec-13
240.6674,04-Dec-13
244.1463,05-Dec-13
245.0792,06-Dec-13
249.368,09-Dec-13
246.5147,10-Dec-13
245.5524,11-Dec-13
243.0608,12-Dec-13
240.1063,13-Dec-13
239.326,16-Dec-13
239.6124,17-Dec-13
242.5999,18-Dec-13
240.9533,19-Dec-13
244.5363,20-Dec-13
245.8559,23-Dec-13
245.2608,24-Dec-13
245.9034,26-Dec-13
246.571,27-Dec-13
245.4627,30-Dec-13
246.3181,31-Dec-13
246.7585,01-Jan-14
243.0268,02-Jan-14
242.7019,03-Jan-14
241.9752,06-Jan-14
241.2529,07-Jan-14
241.903,08-Jan-14
242.2778,09-Jan-14
241.4777,10-Jan-14
244.3036,13-Jan-14
243.9164,14-Jan-14
246.1601,15-Jan-14
245.7592,16-Jan-14
244.1997,17-Jan-14
244.7215,20-Jan-14
244.9765,21-Jan-14
246.1286,22-Jan-14
246.2279,23-Jan-14
243.5817,24-Jan-14
238.3146,27-Jan-14
237.682,28-Jan-14
237.4876,29-Jan-14
235.6603,30-Jan-14
237.3965,31-Jan-14
234.5735,03-Feb-14
234.9805,04-Feb-14
235.8498,05-Feb-14
235.905,06-Feb-14
237.4337,07-Feb-14
237.2357,10-Feb-14
237.0404,11-Feb-14
238.0708,12-Feb-14
233.787,13-Feb-14
235.3263,14-Feb-14
236.3782,17-Feb-14
238.1762,18-Feb-14
239.0628,19-Feb-14
236.8555,20-Feb-14
238.2009,21-Feb-14
238.8457,24-Feb-14
239.7979,25-Feb-14
240.8968,26-Feb-14
241.9444,28-Feb-14
240.2206,03-Mar-14
243.1179,04-Mar-14
244.5713,05-Mar-14
248.0034,06-Mar-14
252.9832,07-Mar-14
254.6239,10-Mar-14
253.5475,11-Mar-14
253.0633,12-Mar-14
252.54,13-Mar-14
252.1782,14-Mar-14
253.3119,18-Mar-14
253.4587,19-Mar-14
251.5453,20-Mar-14
251.0564,21-Mar-14
254.7105,24-Mar-14
254.5891,25-Mar-14
255.6116,26-Mar-14
257.4094,27-Mar-14
260.046,28-Mar-14
260.8636,31-Mar-14
260.752,01-Apr-14
262.9779,02-Apr-14
262.1395,03-Apr-14
261.1315,04-Apr-14
260.132,07-Apr-14
263.0996,09-Apr-14
262.6831,10-Apr-14
261.6579,11-Apr-14
260.4735,15-Apr-14
257.5252,16-Apr-14
260.7393,17-Apr-14
262.4304,21-Apr-14
262.8289,22-Apr-14
263.8333,23-Apr-14
262.2086,25-Apr-14
261.7552,28-Apr-14
259.8659,29-Apr-14
258.0763,30-Apr-14
258.7553,02-May-14
259.0384,05-May-14
259.3836,06-May-14
257.3583,07-May-14
257.18,08-May-14
264.6324,09-May-14
270.036,12-May-14
273.4713,13-May-14
273.8267,14-May-14
273.0654,15-May-14
277.6102,16-May-14
282.3623,19-May-14
282.2619,20-May-14
281.6624,21-May-14
282.6541,22-May-14
285.6254,23-May-14
284.6111,26-May-14
283.9799,27-May-14
285.2165,28-May-14
281.4997,29-May-14
281.9916,30-May-14
287.9677,02-Jun-14
289.2547,03-Jun-14
289.3361,04-Jun-14
291.1855,05-Jun-14
295.2923,06-Jun-14
299.3659,09-Jun-14
299.3522,10-Jun-14
298.0186,11-Jun-14
297.9384,12-Jun-14
293.6798,13-Jun-14
294.1868,16-Jun-14
298.1963,17-Jun-14
295.733,18-Jun-14
294.9317,19-Jun-14
293.9266,20-Jun-14
294.7991,23-Jun-14
296.9734,24-Jun-14
296.1147,25-Jun-14
293.7684,26-Jun-14
294.2792,27-Jun-14
298.2217,30-Jun-14
299.1372,01-Jul-14
302.2126,02-Jul-14
301.8116,03-Jul-14
302.6243,04-Jul-14
303.3669,07-Jul-14
297.0647,08-Jul-14
294.7066,09-Jul-14
294.3707,10-Jul-14
290.116,11-Jul-14
289.8687,14-Jul-14
292.6921,15-Jul-14
295.5074,16-Jul-14
296.7013,17-Jul-14
297.8388,18-Jul-14
298.7621,21-Jul-14
301.4631,22-Jul-14
302.2037,23-Jul-14
303.3672,24-Jul-14
301.8498,25-Jul-14
300.2643,28-Jul-14
303.2009,30-Jul-14
301.0892,31-Jul-14
297.9673,01-Aug-14
300.6862,04-Aug-14
302.8105,05-Aug-14
300.9475,06-Aug-14
299.0584,07-Aug-14
296.1435,08-Aug-14
298.1756,11-Aug-14
301.0003,12-Aug-14
300.0186,13-Aug-14
301.998,14-Aug-14
306.47,18-Aug-14
309.172,19-Aug-14
309.6731,20-Aug-14
310.0813,21-Aug-14
310.8899,22-Aug-14
310.1018,25-Aug-14
308.7953,26-Aug-14
310.7548,27-Aug-14
311.5179,28-Aug-14
315.8978,01-Sep-14
318.5649,02-Sep-14
320.6638,03-Sep-14
320.3117,04-Sep-14
319.9365,05-Sep-14
323.6472,08-Sep-14
323.1887,09-Sep-14
321.4395,10-Sep-14
321.1808,11-Sep-14
322.0071,12-Sep-14
320.0063,15-Sep-14
315.624,16-Sep-14
317.1159,17-Sep-14
322.1678,18-Sep-14
321.8588,19-Sep-14
322.1445,22-Sep-14
317.4815,23-Sep-14
316.2092,24-Sep-14
312.572,25-Sep-14
315.564,26-Sep-14
314.7162,29-Sep-14
314.2892,30-Sep-14
314.3538,01-Oct-14
311.4018,07-Oct-14
310.978,08-Oct-14
315.4744,09-Oct-14
312.8196,10-Oct-14
313.894,13-Oct-14
314.2592,14-Oct-14
310.2931,16-Oct-14
313.5159,17-Oct-14
317.2648,20-Oct-14
318.8298,21-Oct-14
321.7014,22-Oct-14
323.017,27-Oct-14
323.0702,28-Oct-14
324.6907,29-Oct-14
327.6949,30-Oct-14
332.4481,31-Oct-14
332.1501,03-Nov-14
332.9222,05-Nov-14
336.04,07-Nov-14
335.8767,10-Nov-14
337.2409,11-Nov-14
338.2314,12-Nov-14
337.7615,13-Nov-14
338.6691,14-Nov-14
339.1282,17-Nov-14
339.9094,18-Nov-14
338.9802,19-Nov-14
338.4857,20-Nov-14
341.2365,21-Nov-14
342.9535,24-Nov-14
340.8124,25-Nov-14
340.6877,26-Nov-14
341.6311,27-Nov-14
345.8127,28-Nov-14
346.1272,01-Dec-14
345.3432,02-Dec-14
346.5429,03-Dec-14
346.6035,04-Dec-14
344.8535,05-Dec-14
340.4816,08-Dec-14
336.4986,09-Dec-14
337.4752,10-Dec-14
334.6377,11-Dec-14
333.0722,12-Dec-14
333.1614,15-Dec-14
328.3768,16-Dec-14
326.8015,17-Dec-14
332.0809,18-Dec-14
334.5923,19-Dec-14
337.7396,22-Dec-14
336.5087,23-Dec-14
334.5041,24-Dec-14
335.5013,26-Dec-14
336.2072,29-Dec-14
336.9463,30-Dec-14
338.0004,31-Dec-14
338.8197,01-Jan-15
342.891,02-Jan-15
342.3412,05-Jan-15
334.5547,06-Jan-15
333.1971,07-Jan-15
338.0661,08-Jan-15
339.9065,09-Jan-15
341.2684,12-Jan-15
341.5305,13-Jan-15
341.2738,14-Jan-15
347.6617,15-Jan-15
347.7465,16-Jan-15
350.7499,19-Jan-15
354.5486,20-Jan-15
357.0416,21-Jan-15
358.624,22-Jan-15
362.0413,23-Jan-15
363.7343,27-Jan-15
362.5284,28-Jan-15
363.8665,29-Jan-15
359.6098,30-Jan-15
357.4161,02-Feb-15
354.7482,03-Feb-15
354.1481,04-Feb-15
354.7655,05-Feb-15
351.8062,06-Feb-15
347.6798,09-Feb-15
350.4234,10-Feb-15
353.274,11-Feb-15
356.5369,12-Feb-15
359.6186,13-Feb-15
358.4456,16-Feb-15
360.0018,18-Feb-15
360.5956,19-Feb-15
358.8105,20-Feb-15
356.6096,23-Feb-15
356.0313,24-Feb-15
355.665,25-Feb-15
352.2813,26-Feb-15
358.5782,27-Feb-15
367.2859,02-Mar-15
368.3926,03-Mar-15
365.1986,04-Mar-15
365.1207,05-Mar-15
358.1454,09-Mar-15
358.8938,10-Mar-15
358.912,11-Mar-15
361.7047,12-Mar-15
357.3064,13-Mar-15
357.0913,16-Mar-15
360.9525,17-Mar-15
359.7814,18-Mar-15
357.3258,19-Mar-15
355.8004,20-Mar-15
355.1436,23-Mar-15
355.2189,24-Mar-15
354.4881,25-Mar-15
349.3455,26-Mar-15
349.8065,27-Mar-15
355.0184,30-Mar-15
355.4964,31-Mar-15
359.231,01-Apr-15
360.6349,06-Apr-15
361.1187,07-Apr-15
363.7183,08-Apr-15
366.0133,09-Apr-15
366.7617,10-Apr-15
367.8789,13-Apr-15
364.8126,15-Apr-15
363.2519,16-Apr-15
357.5217,17-Apr-15
351.5598,20-Apr-15
350.3573,21-Apr-15
352.5852,22-Apr-15
352.4169,23-Apr-15
348.134,24-Apr-15
343.884,27-Apr-15
346.7937,28-Apr-15
346.1629,29-Apr-15
344.3427,30-Apr-15
349.3965,04-May-15
350.1416,05-May-15
341.2339,06-May-15
339.211,07-May-15
343.675,08-May-15
348.7027,11-May-15
342.3831,12-May-15
346.4711,13-May-15
346.811,14-May-15
348.58,15-May-15
352.6671,18-May-15
353.5212,19-May-15
355.4385,20-May-15
355.9148,21-May-15
356.4218,22-May-15
354.8668,25-May-15
354.3304,26-May-15
354.9434,27-May-15
354.5886,28-May-15
360.8486,29-May-15
360.0274,01-Jun-15
352.6606,02-Jun-15
349.8924,03-Jun-15
350.5539,04-Jun-15
349.128,05-Jun-15
346.6906,08-Jun-15
344.9752,09-Jun-15
348.7741,10-Jun-15
342.7265,11-Jun-15
343.483,12-Jun-15
343.4503,15-Jun-15
344.9588,16-Jun-15
346.5679,17-Jun-15
349.2641,18-Jun-15
351.5171,19-Jun-15
355.3856,22-Jun-15
356.2537,23-Jun-15
355.5337,24-Jun-15
356.6129,25-Jun-15
356.8182,26-Jun-15
354.0053,29-Jun-15
355.6751,30-Jun-15
359.6038,01-Jul-15
360.0938,02-Jul-15
361.1049,03-Jul-15
363.0981,06-Jul-15
362.773,07-Jul-15
358.0072,08-Jul-15
356.5232,09-Jul-15
358.1086,10-Jul-15
361.6241,13-Jul-15
361.609,14-Jul-15
363.9842,15-Jul-15
367.1861,16-Jul-15
367.3765,17-Jul-15
368.3056,20-Jul-15
366.0606,21-Jul-15
370.4141,22-Jul-15
369.3999,23-Jul-15
366.874,24-Jul-15
360.0823,27-Jul-15
358.9785,28-Jul-15
361.5206,29-Jul-15
363.9232,30-Jul-15
367.8757,31-Jul-15
368.0604,03-Aug-15
367.5914,04-Aug-15
369.7866,05-Aug-15
373.0358,06-Aug-15
372.9139,07-Aug-15
371.1377,10-Aug-15
368.6492,11-Aug-15
363.974,12-Aug-15
364.3194,13-Aug-15
371.0378,14-Aug-15
369.7624,17-Aug-15
370.255,18-Aug-15
371.3705,19-Aug-15
364.4658,20-Aug-15
360.6688,21-Aug-15
340.0943,24-Aug-15
343.4715,25-Aug-15
339.9616,26-Aug-15
345.8751,27-Aug-15
348.7287,28-Aug-15
347.5372,31-Aug-15
340.1719,01-Sep-15
336.7567,02-Sep-15
341.2884,03-Sep-15
335.4012,04-Sep-15
330.8027,07-Sep-15
335.8138,08-Sep-15
341.709,09-Sep-15
340.7273,10-Sep-15
341.0903,11-Sep-15
344.7985,14-Sep-15
342.2984,15-Sep-15
345.7184,16-Sep-15
349.4389,18-Sep-15
349.5201,21-Sep-15
342.9633,22-Sep-15
344.2978,23-Sep-15
344.716,24-Sep-15
341.9228,28-Sep-15
342.1554,29-Sep-15
346.7231,30-Sep-15
347.4937,01-Oct-15
353.4545,05-Oct-15
354.5039,06-Oct-15
353.9906,07-Oct-15
352.6495,08-Oct-15
354.5431,09-Oct-15
353.2585,12-Oct-15
352.6567,13-Oct-15
351.795,14-Oct-15
354.8341,15-Oct-15
357.4162,16-Oct-15
358.8508,19-Oct-15
358.6469,20-Oct-15
358.4956,21-Oct-15
360.2352,23-Oct-15
358.7048,26-Oct-15
358.6272,27-Oct-15
356.2003,28-Oct-15
354.7331,29-Oct-15
353.5246,30-Oct-15
353.2925,02-Nov-15
354.1876,03-Nov-15
354.1461,04-Nov-15
350.6559,05-Nov-15
349.1873,06-Nov-15
348.6059,09-Nov-15
343.2807,10-Nov-15
343.7748,13-Nov-15
344.5761,16-Nov-15
344.3228,17-Nov-15
340.8342,18-Nov-15
344.8381,19-Nov-15
345.8084,20-Nov-15
346.4168,23-Nov-15
345.2526,24-Nov-15
346.2729,26-Nov-15
348.572,27-Nov-15
348.8306,30-Nov-15
349.265,01-Dec-15
348.3093,02-Dec-15
345.4574,03-Dec-15
342.1974,04-Dec-15
342.7189,07-Dec-15
339.9663,08-Dec-15
335.8563,09-Dec-15
337.406,10-Dec-15
333.6838,11-Dec-15
334.4895,14-Dec-15
336.5848,15-Dec-15
339.0004,16-Dec-15
343.0059,17-Dec-15
339.628,18-Dec-15
341.7803,21-Dec-15
340.2841,22-Dec-15
342.9503,23-Dec-15
343.1369,24-Dec-15
345.3305,28-Dec-15
345.506,29-Dec-15
344.5313,30-Dec-15
344.8196,31-Dec-15
345.7959,01-Jan-16
339.1084,04-Jan-16
338.465,05-Jan-16
337.1961,06-Jan-16
330.6425,07-Jan-16
332.5923,08-Jan-16
330.4834,11-Jan-16
327.9032,12-Jan-16
330.7754,13-Jan-16
328.6582,14-Jan-16
325.9634,15-Jan-16
321.2865,18-Jan-16
325.1448,19-Jan-16
320.7181,20-Jan-16
319.6868,21-Jan-16
324.9224,22-Jan-16
325.3296,25-Jan-16
325.8569,27-Jan-16
324.5033,28-Jan-16
330.8659,29-Jan-16
331.8207,01-Feb-16
328.0911,02-Feb-16
323.8432,03-Feb-16
325.7423,04-Feb-16
329.6135,05-Feb-16
325.8294,08-Feb-16
320.4773,09-Feb-16
317.3329,10-Feb-16
309.2628,11-Feb-16
308.3581,12-Feb-16
316.104,15-Feb-16
311.5217,16-Feb-16
313.8688,17-Feb-16
318.4735,18-Feb-16
319.4016,19-Feb-16
320.8985,22-Feb-16
315.9083,23-Feb-16
312.9286,24-Feb-16
310.0499,25-Feb-16
311.9357,26-Feb-16
310.1005,29-Feb-16
318.6374,01-Mar-16
324.7659,02-Mar-16
329.3568,03-Mar-16
330.4558,04-Mar-16
329.461,08-Mar-16
331.6703,09-Mar-16
329.7221,10-Mar-16
330.1245,11-Mar-16
332.0679,14-Mar-16
330.765,15-Mar-16
331.6052,16-Mar-16
333.0457,17-Mar-16
336.8891,18-Mar-16
340.7514,21-Mar-16
340.7776,22-Mar-16
340.963,23-Mar-16
337.552,28-Mar-16
337.4763,29-Mar-16
343.9969,30-Mar-16
344.2319,31-Mar-16
343.0236,01-Apr-16
345.3896,04-Apr-16
338.3417,05-Apr-16
339.3892,06-Apr-16
337.5001,07-Apr-16
337.8262,08-Apr-16
342.2372,11-Apr-16
344.0035,12-Apr-16
349.0308,13-Apr-16
351.4348,18-Apr-16
351.4377,20-Apr-16
351.6774,21-Apr-16
351.9057,22-Apr-16
351.046,25-Apr-16
354.8944,26-Apr-16
355.7977,27-Apr-16
351.8221,28-Apr-16
351.7109,29-Apr-16
349.0703,02-May-16
346.935,03-May-16
344.3056,04-May-16
344.4124,05-May-16
344.2048,06-May-16
350.1269,09-May-16
351.6908,10-May-16
350.6959,11-May-16
352.8967,12-May-16
350.0287,13-May-16
351.0481,16-May-16
352.1902,17-May-16
351.8294,18-May-16
349.5102,19-May-16
347.8602,20-May-16
347.0403,23-May-16
346.9735,24-May-16
354.2457,25-May-16
359.0563,26-May-16
362.1669,27-May-16
364.0725,30-May-16
364.1111,31-May-16
363.6589,01-Jun-16
365.1136,02-Jun-16
365.2486,03-Jun-16
364.5791,06-Jun-16
366.5021,07-Jun-16
367.113,08-Jun-16
365.49,09-Jun-16
364.4783,10-Jun-16
362.2315,13-Jun-16
361.9141,14-Jun-16
365.9095,15-Jun-16
363.1249,16-Jun-16
364.1548,17-Jun-16
366.8984,20-Jun-16
366.7357,21-Jun-16
366.7831,22-Jun-16
370.0118,23-Jun-16
363.7805,24-Jun-16
363.5873,27-Jun-16
363.9145,28-Jun-16
367.2604,29-Jun-16
371.9451,30-Jun-16
374.4798,01-Jul-16
376.3527,04-Jul-16
374.7359,05-Jul-16
374.4894,07-Jul-16
374.2126,08-Jul-16
380.3071,11-Jul-16
382.3247,12-Jul-16
381.5862,13-Jul-16
383.8268,14-Jul-16
383.6536,15-Jul-16
382.0428,18-Jul-16
382.6098,19-Jul-16
384.6278,20-Jul-16
383.7129,21-Jul-16
384.3307,22-Jul-16
387.9073,25-Jul-16
386.2308,26-Jul-16
386.2645,27-Jul-16
387.1657,28-Jul-16
385.7127,29-Jul-16
385.0355,01-Aug-16
384.6243,02-Aug-16
382.4461,03-Aug-16
383.4063,04-Aug-16
389.8335,05-Aug-16
391.0378,08-Aug-16
389.586,09-Aug-16
384.3082,10-Aug-16
383.9624,11-Aug-16
386.1001,12-Aug-16
385.2009,16-Aug-16
385.3574,17-Aug-16
388.504,18-Aug-16
388.7444,19-Aug-16
386.8534,22-Aug-16
387.3459,23-Aug-16
387.8252,24-Aug-16
385.9412,25-Aug-16
384.4296,26-Aug-16
385.5789,29-Aug-16
390.4888,30-Aug-16
392.5851,31-Aug-16
390.993,01-Sep-16
392.6284,02-Sep-16
398.3111,06-Sep-16
397.6368,07-Sep-16
398.642,08-Sep-16
395.309,09-Sep-16
388.449,12-Sep-16
389.8929,14-Sep-16
388.8556,15-Sep-16
389.7708,16-Sep-16
391.3684,19-Sep-16
390.2829,20-Sep-16
389.8322,21-Sep-16
393.6413,22-Sep-16
392.5226,23-Sep-16
388.6918,26-Sep-16
387.7615,27-Sep-16
389.9501,28-Sep-16
