Net Asset Value,NAV date
55.1533,01-Jan-13
55.2697,02-Jan-13
55.5012,03-Jan-13
55.5513,04-Jan-13
55.6576,07-Jan-13
55.672,08-Jan-13
55.6852,09-Jan-13
55.7193,10-Jan-13
55.5441,11-Jan-13
55.9514,14-Jan-13
56.1357,15-Jan-13
55.8194,16-Jan-13
56.0412,17-Jan-13
55.9992,18-Jan-13
56.034,21-Jan-13
55.9355,22-Jan-13
55.9652,23-Jan-13
55.7126,24-Jan-13
55.915,25-Jan-13
55.9027,28-Jan-13
55.7992,29-Jan-13
55.8533,30-Jan-13
55.7202,31-Jan-13
55.6201,01-Feb-13
55.3919,04-Feb-13
55.1483,05-Feb-13
55.0405,06-Feb-13
55.0073,07-Feb-13
54.744,08-Feb-13
54.6599,11-Feb-13
54.9187,12-Feb-13
54.9971,13-Feb-13
54.6781,14-Feb-13
54.5883,15-Feb-13
54.5738,18-Feb-13
54.9331,19-Feb-13
54.9564,20-Feb-13
54.311,21-Feb-13
54.449,22-Feb-13
54.3105,25-Feb-13
53.8475,26-Feb-13
54.0324,27-Feb-13
53.4653,28-Feb-13
53.5466,01-Mar-13
53.4552,04-Mar-13
53.9656,05-Mar-13
54.0875,06-Mar-13
54.235,07-Mar-13
54.6478,08-Mar-13
54.5876,11-Mar-13
54.3822,12-Mar-13
53.9028,13-Mar-13
54.1386,14-Mar-13
53.9485,15-Mar-13
53.678,18-Mar-13
53.1883,19-Mar-13
52.7874,20-Mar-13
52.7153,21-Mar-13
52.4939,22-Mar-13
52.3939,25-Mar-13
52.4636,26-Mar-13
52.777,28-Mar-13
53.0076,01-Apr-13
53.4451,02-Apr-13
53.0261,03-Apr-13
52.5632,04-Apr-13
52.5418,05-Apr-13
52.5893,08-Apr-13
52.297,09-Apr-13
52.4903,10-Apr-13
52.6184,11-Apr-13
52.1449,12-Apr-13
52.3249,15-Apr-13
52.9722,16-Apr-13
53.0148,17-Apr-13
53.5312,18-Apr-13
53.9745,22-Apr-13
54.0542,23-Apr-13
54.4525,25-Apr-13
54.344,26-Apr-13
54.5541,29-Apr-13
54.7231,30-Apr-13
54.9916,02-May-13
54.7779,03-May-13
55.0217,06-May-13
55.4433,07-May-13
55.6399,08-May-13
55.5402,09-May-13
55.8182,10-May-13
55.4508,13-May-13
55.7901,14-May-13
56.6028,15-May-13
56.8594,16-May-13
56.841,17-May-13
56.5594,20-May-13
56.2346,21-May-13
56.2221,22-May-13
55.5272,23-May-13
55.8044,24-May-13
56.4616,27-May-13
56.7145,28-May-13
56.6018,29-May-13
56.6917,30-May-13
56.1028,31-May-13
56.21,03-Jun-13
56.1268,04-Jun-13
56.0762,05-Jun-13
55.9098,06-Jun-13
55.754,07-Jun-13
55.5852,10-Jun-13
54.8929,11-Jun-13
54.8259,12-Jun-13
54.5606,13-Jun-13
55.0472,14-Jun-13
55.3698,17-Jun-13
55.2793,18-Jun-13
55.3732,19-Jun-13
54.2807,20-Jun-13
54.3246,21-Jun-13
53.5521,24-Jun-13
53.5965,25-Jun-13
53.2137,26-Jun-13
53.5771,27-Jun-13
54.612,28-Jun-13
54.8826,01-Jul-13
54.8305,02-Jul-13
54.2873,03-Jul-13
54.6472,04-Jul-13
54.7458,05-Jul-13
54.4372,08-Jul-13
54.827,09-Jul-13
54.6377,10-Jul-13
55.3016,11-Jul-13
55.7661,12-Jul-13
55.8743,15-Jul-13
54.7333,16-Jul-13
54.6767,17-Jul-13
55.1884,18-Jul-13
55.193,19-Jul-13
55.119,22-Jul-13
55.1341,23-Jul-13
54.4922,24-Jul-13
54.2024,25-Jul-13
54.1471,26-Jul-13
53.8488,29-Jul-13
53.1763,30-Jul-13
53.2533,31-Jul-13
53.3169,01-Aug-13
52.8271,02-Aug-13
52.8486,05-Aug-13
51.7583,06-Aug-13
51.9045,07-Aug-13
52.2415,08-Aug-13
52.258,12-Aug-13
52.6842,13-Aug-13
52.7585,14-Aug-13
51.2299,16-Aug-13
50.1226,19-Aug-13
50.3481,20-Aug-13
50.4695,21-Aug-13
51.0112,22-Aug-13
51.277,23-Aug-13
51.3875,26-Aug-13
50.0632,27-Aug-13
49.5521,28-Aug-13
50.318,29-Aug-13
50.7383,30-Aug-13
51.1109,02-Sep-13
50.0386,03-Sep-13
50.9013,04-Sep-13
51.9249,05-Sep-13
52.5334,06-Sep-13
53.5193,10-Sep-13
53.7389,11-Sep-13
53.3564,12-Sep-13
53.349,13-Sep-13
53.6917,16-Sep-13
53.676,17-Sep-13
53.9554,18-Sep-13
55.2975,19-Sep-13
54.6098,20-Sep-13
53.7966,23-Sep-13
