Net Asset Value,NAV date
22.6787,01-Jan-13
22.6899,02-Jan-13
22.7039,03-Jan-13
22.7161,04-Jan-13
22.7301,07-Jan-13
22.7357,08-Jan-13
22.7444,09-Jan-13
22.7635,10-Jan-13
22.7802,11-Jan-13
22.8164,14-Jan-13
22.8149,15-Jan-13
22.7967,16-Jan-13
22.798,17-Jan-13
22.8016,18-Jan-13
22.8177,21-Jan-13
22.8256,22-Jan-13
22.8296,23-Jan-13
22.8357,24-Jan-13
22.8519,28-Jan-13
22.8634,29-Jan-13
22.8626,30-Jan-13
22.847,31-Jan-13
22.8392,01-Feb-13
22.8217,04-Feb-13
22.8365,05-Feb-13
22.8426,06-Feb-13
22.8683,07-Feb-13
22.8772,08-Feb-13
22.8872,11-Feb-13
22.8866,12-Feb-13
22.8847,13-Feb-13
22.8856,14-Feb-13
22.8881,15-Feb-13
22.8979,18-Feb-13
22.9103,20-Feb-13
22.9099,21-Feb-13
22.9102,22-Feb-13
22.9218,25-Feb-13
22.9273,26-Feb-13
22.9301,27-Feb-13
22.9236,28-Feb-13
22.9285,01-Mar-13
22.9399,04-Mar-13
22.9443,05-Mar-13
22.9594,06-Mar-13
22.973,07-Mar-13
22.9849,08-Mar-13
22.995,11-Mar-13
22.9949,12-Mar-13
23.0163,13-Mar-13
23.0427,14-Mar-13
23.0547,15-Mar-13
23.0612,18-Mar-13
23.0582,19-Mar-13
23.0638,20-Mar-13
23.0708,21-Mar-13
23.0744,22-Mar-13
23.0909,25-Mar-13
23.0968,26-Mar-13
23.1102,28-Mar-13
23.1552,02-Apr-13
23.1893,03-Apr-13
23.1979,04-Apr-13
23.2078,05-Apr-13
23.2208,08-Apr-13
23.2282,09-Apr-13
23.2356,10-Apr-13
23.249,12-Apr-13
23.2783,15-Apr-13
23.2947,16-Apr-13
23.3114,17-Apr-13
23.3323,18-Apr-13
23.3666,22-Apr-13
23.3788,23-Apr-13
23.393,25-Apr-13
23.3996,26-Apr-13
23.4131,29-Apr-13
23.4442,30-Apr-13
23.4669,02-May-13
23.499,03-May-13
23.5073,06-May-13
23.5235,07-May-13
23.5372,08-May-13
23.5635,09-May-13
23.5765,10-May-13
23.5912,13-May-13
23.6388,14-May-13
23.6723,15-May-13
23.6868,16-May-13
23.6914,17-May-13
23.7077,20-May-13
23.7166,21-May-13
23.7148,22-May-13
23.6998,23-May-13
23.7078,24-May-13
23.7148,27-May-13
23.7062,28-May-13
23.6761,29-May-13
23.6779,30-May-13
23.6684,31-May-13
23.6901,03-Jun-13
23.7042,04-Jun-13
23.7149,05-Jun-13
23.7176,06-Jun-13
23.7156,07-Jun-13
23.7074,10-Jun-13
23.6844,11-Jun-13
23.6804,12-Jun-13
23.676,13-Jun-13
23.6883,14-Jun-13
23.7333,17-Jun-13
23.7407,18-Jun-13
23.7452,19-Jun-13
23.6885,20-Jun-13
23.6764,21-Jun-13
23.6421,24-Jun-13
23.6467,25-Jun-13
23.6233,26-Jun-13
23.6133,27-Jun-13
23.6823,28-Jun-13
23.7102,02-Jul-13
23.6858,03-Jul-13
23.7053,04-Jul-13
23.7025,05-Jul-13
23.6859,08-Jul-13
23.6873,09-Jul-13
23.6897,10-Jul-13
23.7034,11-Jul-13
23.6998,12-Jul-13
23.6966,15-Jul-13
23.2916,16-Jul-13
23.2895,17-Jul-13
23.3659,18-Jul-13
23.397,19-Jul-13
23.3746,22-Jul-13
23.2828,23-Jul-13
23.1752,24-Jul-13
23.2126,25-Jul-13
23.2418,26-Jul-13
23.2537,29-Jul-13
23.2419,30-Jul-13
23.1966,31-Jul-13
23.2385,01-Aug-13
23.2347,02-Aug-13
23.2699,05-Aug-13
23.2593,06-Aug-13
23.3002,07-Aug-13
23.3119,08-Aug-13
23.2911,12-Aug-13
23.2395,13-Aug-13
23.1917,14-Aug-13
23.1361,16-Aug-13
22.9059,19-Aug-13
22.9936,20-Aug-13
23.1773,21-Aug-13
23.1693,22-Aug-13
23.2163,23-Aug-13
23.2314,26-Aug-13
23.1406,27-Aug-13
23.0592,28-Aug-13
23.0711,29-Aug-13
23.1354,30-Aug-13
23.2003,02-Sep-13
23.2084,03-Sep-13
23.278,04-Sep-13
23.3651,05-Sep-13
23.3644,06-Sep-13
23.3973,10-Sep-13
23.4176,11-Sep-13
23.4197,12-Sep-13
23.4152,13-Sep-13
23.4498,16-Sep-13
23.4649,17-Sep-13
23.5065,18-Sep-13
23.6067,19-Sep-13
23.5535,20-Sep-13
23.5008,23-Sep-13
23.4955,24-Sep-13
23.5188,25-Sep-13
23.5586,26-Sep-13
23.5723,27-Sep-13
23.6032,30-Sep-13
23.6158,01-Oct-13
23.6653,03-Oct-13
23.7069,04-Oct-13
23.7403,07-Oct-13
23.85,08-Oct-13
23.845,09-Oct-13
23.8532,10-Oct-13
23.856,11-Oct-13
23.8437,14-Oct-13
23.7982,15-Oct-13
23.8298,17-Oct-13
23.8743,18-Oct-13
23.8871,21-Oct-13
23.8926,22-Oct-13
23.8966,23-Oct-13
23.9012,24-Oct-13
23.9011,25-Oct-13
23.9052,28-Oct-13
23.9374,29-Oct-13
23.9415,30-Oct-13
23.9403,31-Oct-13
23.9373,01-Nov-13
23.9545,05-Nov-13
23.9447,06-Nov-13
23.9256,07-Nov-13
23.9101,08-Nov-13
23.8796,11-Nov-13
23.8565,12-Nov-13
23.8486,13-Nov-13
23.842,14-Nov-13
23.8824,18-Nov-13
23.9202,19-Nov-13
23.922,20-Nov-13
23.9254,21-Nov-13
23.9327,22-Nov-13
23.9733,25-Nov-13
24.0314,26-Nov-13
24.0552,27-Nov-13
24.0762,28-Nov-13
24.0776,29-Nov-13
24.1034,02-Dec-13
24.1112,03-Dec-13
24.1202,04-Dec-13
24.148,05-Dec-13
24.1469,06-Dec-13
24.1326,09-Dec-13
24.1391,10-Dec-13
24.1555,11-Dec-13
24.1697,12-Dec-13
24.1333,13-Dec-13
24.1562,16-Dec-13
24.1553,17-Dec-13
24.1896,18-Dec-13
24.2052,19-Dec-13
24.2043,20-Dec-13
24.2188,23-Dec-13
24.207,24-Dec-13
24.2177,26-Dec-13
24.2131,27-Dec-13
24.2286,30-Dec-13
24.2511,31-Dec-13
24.2577,01-Jan-14
24.2809,02-Jan-14
24.2828,03-Jan-14
24.3027,06-Jan-14
24.3131,07-Jan-14
24.3134,08-Jan-14
24.314,09-Jan-14
24.3266,10-Jan-14
24.3605,13-Jan-14
24.3959,15-Jan-14
24.4153,16-Jan-14
24.4253,17-Jan-14
24.4572,20-Jan-14
24.4767,21-Jan-14
24.453,22-Jan-14
24.4555,23-Jan-14
24.4404,24-Jan-14
24.4454,27-Jan-14
24.4154,28-Jan-14
24.4124,29-Jan-14
24.3917,30-Jan-14
24.4022,31-Jan-14
24.4251,03-Feb-14
24.446,04-Feb-14
24.4606,05-Feb-14
24.4786,06-Feb-14
24.479,07-Feb-14
24.5035,10-Feb-14
24.4847,11-Feb-14
24.4695,12-Feb-14
24.46,13-Feb-14
24.4582,14-Feb-14
24.4787,17-Feb-14
24.4885,18-Feb-14
24.5032,20-Feb-14
24.5129,21-Feb-14
24.5215,24-Feb-14
24.527,25-Feb-14
24.5295,26-Feb-14
24.5479,28-Feb-14
24.5608,03-Mar-14
24.5599,04-Mar-14
24.5743,05-Mar-14
24.5914,06-Mar-14
24.6067,07-Mar-14
24.6294,10-Mar-14
24.6667,11-Mar-14
24.6762,12-Mar-14
24.6846,13-Mar-14
24.6868,14-Mar-14
24.7084,18-Mar-14
24.7233,19-Mar-14
24.7343,20-Mar-14
24.7651,21-Mar-14
24.8093,24-Mar-14
24.8148,25-Mar-14
24.8121,26-Mar-14
24.8172,27-Mar-14
24.8488,28-Mar-14
24.8665,31-Mar-14
24.852,02-Apr-14
24.8568,03-Apr-14
24.8321,04-Apr-14
24.8417,07-Apr-14
24.8366,09-Apr-14
24.8449,10-Apr-14
24.867,11-Apr-14
24.8906,15-Apr-14
24.9105,16-Apr-14
24.9292,17-Apr-14
24.9664,21-Apr-14
24.9909,22-Apr-14
25.0027,23-Apr-14
