Net Asset Value,NAV date
28.957,01-Jan-13
29.227,02-Jan-13
29.316,03-Jan-13
29.381,04-Jan-13
29.348,07-Jan-13
29.279,08-Jan-13
29.228,09-Jan-13
29.181,10-Jan-13
29.186,11-Jan-13
29.565,14-Jan-13
29.703,15-Jan-13
29.301,16-Jan-13
29.461,17-Jan-13
29.628,18-Jan-13
29.686,21-Jan-13
29.402,22-Jan-13
29.325,23-Jan-13
28.848,24-Jan-13
29.211,25-Jan-13
29.176,28-Jan-13
28.965,29-Jan-13
28.927,30-Jan-13
28.909,31-Jan-13
28.672,01-Feb-13
28.47,04-Feb-13
28.21,05-Feb-13
28.143,06-Feb-13
27.977,07-Feb-13
27.769,08-Feb-13
27.743,11-Feb-13
27.816,12-Feb-13
27.772,13-Feb-13
27.563,14-Feb-13
27.55,15-Feb-13
27.623,18-Feb-13
27.784,19-Feb-13
27.64,20-Feb-13
27.179,21-Feb-13
27.18,22-Feb-13
27.065,25-Feb-13
26.742,26-Feb-13
26.974,27-Feb-13
26.271,28-Feb-13
26.422,01-Mar-13
26.287,04-Mar-13
26.685,05-Mar-13
27.083,06-Mar-13
27.34,07-Mar-13
27.558,08-Mar-13
27.547,11-Mar-13
27.364,12-Mar-13
26.941,13-Mar-13
27.292,14-Mar-13
27.036,15-Mar-13
26.802,18-Mar-13
26.304,19-Mar-13
25.831,20-Mar-13
25.634,21-Mar-13
25.523,22-Mar-13
25.468,25-Mar-13
25.576,26-Mar-13
25.908,28-Mar-13
26.069,01-Apr-13
26.421,02-Apr-13
26.128,03-Apr-13
25.72,04-Apr-13
25.752,05-Apr-13
25.659,08-Apr-13
25.388,09-Apr-13
25.534,10-Apr-13
25.736,11-Apr-13
25.332,12-Apr-13
25.531,15-Apr-13
25.828,16-Apr-13
25.873,17-Apr-13
26.241,18-Apr-13
26.486,22-Apr-13
26.433,23-Apr-13
26.587,25-Apr-13
26.345,26-Apr-13
26.43,29-Apr-13
26.536,30-Apr-13
26.722,02-May-13
26.372,03-May-13
26.485,06-May-13
26.675,07-May-13
26.554,08-May-13
26.529,09-May-13
26.671,10-May-13
26.252,13-May-13
26.327,14-May-13
26.85,15-May-13
26.976,16-May-13
27.111,17-May-13
26.999,20-May-13
26.784,21-May-13
26.595,22-May-13
25.828,23-May-13
25.903,24-May-13
26.046,27-May-13
26.184,28-May-13
26.021,29-May-13
26.057,30-May-13
25.695,31-May-13
25.687,03-Jun-13
25.633,04-Jun-13
25.53,05-Jun-13
25.628,06-Jun-13
25.528,07-Jun-13
25.386,10-Jun-13
24.938,11-Jun-13
24.771,12-Jun-13
24.453,13-Jun-13
24.854,14-Jun-13
24.899,17-Jun-13
24.791,18-Jun-13
24.794,19-Jun-13
24.083,20-Jun-13
23.943,21-Jun-13
23.426,24-Jun-13
23.341,25-Jun-13
23.333,26-Jun-13
23.613,27-Jun-13
24.316,28-Jun-13
24.66,01-Jul-13
24.552,02-Jul-13
23.907,03-Jul-13
24.127,04-Jul-13
24.148,05-Jul-13
23.889,08-Jul-13
24.127,09-Jul-13
23.979,10-Jul-13
24.334,11-Jul-13
24.787,12-Jul-13
24.884,15-Jul-13
24.375,16-Jul-13
24.185,17-Jul-13
24.405,18-Jul-13
24.422,19-Jul-13
24.4,22-Jul-13
24.532,23-Jul-13
24.082,24-Jul-13
23.895,25-Jul-13
23.548,26-Jul-13
23.376,29-Jul-13
23.06,30-Jul-13
23.114,31-Jul-13
22.872,01-Aug-13
22.61,02-Aug-13
22.643,05-Aug-13
22.112,06-Aug-13
22.435,07-Aug-13
22.608,08-Aug-13
22.774,12-Aug-13
23.088,13-Aug-13
23.399,14-Aug-13
22.542,16-Aug-13
22.222,19-Aug-13
22.37,20-Aug-13
21.987,21-Aug-13
22.389,22-Aug-13
22.71,23-Aug-13
22.776,26-Aug-13
22.147,27-Aug-13
21.962,28-Aug-13
22.237,29-Aug-13
22.387,30-Aug-13
22.735,02-Sep-13
22.061,03-Sep-13
22.413,04-Sep-13
23.092,05-Sep-13
23.352,06-Sep-13
23.916,10-Sep-13
24.309,11-Sep-13
23.981,12-Sep-13
24.087,13-Sep-13
24.039,16-Sep-13
24.008,17-Sep-13
24.266,18-Sep-13
25.223,19-Sep-13
24.669,20-Sep-13
24.114,23-Sep-13
23.98,24-Sep-13
24.019,25-Sep-13
24.094,26-Sep-13
24.002,27-Sep-13
23.61,30-Sep-13
23.801,01-Oct-13
24.355,03-Oct-13
24.409,04-Oct-13
24.479,07-Oct-13
24.49,08-Oct-13
24.744,09-Oct-13
24.993,10-Oct-13
25.437,11-Oct-13
25.517,14-Oct-13
25.352,15-Oct-13
24.96,17-Oct-13
25.581,18-Oct-13
25.818,21-Oct-13
25.917,22-Oct-13
25.925,23-Oct-13
25.928,24-Oct-13
25.766,25-Oct-13
25.565,28-Oct-13
26.129,29-Oct-13
26.191,30-Oct-13
26.69,31-Oct-13
27.153,01-Nov-13
27.238,05-Nov-13
27.093,06-Nov-13
26.789,07-Nov-13
26.757,08-Nov-13
26.427,11-Nov-13
26.057,12-Nov-13
25.951,13-Nov-13
26.523,14-Nov-13
27.052,18-Nov-13
27.285,19-Nov-13
26.939,20-Nov-13
26.395,21-Nov-13
26.417,22-Nov-13
27.063,25-Nov-13
26.706,26-Nov-13
26.785,27-Nov-13
26.932,28-Nov-13
27.461,29-Nov-13
27.741,02-Dec-13
27.74,03-Dec-13
27.632,04-Dec-13
28.198,05-Dec-13
28.332,06-Dec-13
28.912,09-Dec-13
28.538,10-Dec-13
28.239,11-Dec-13
27.918,12-Dec-13
27.52,13-Dec-13
27.559,16-Dec-13
27.591,17-Dec-13
27.937,18-Dec-13
27.71,19-Dec-13
28.154,20-Dec-13
28.37,23-Dec-13
28.364,24-Dec-13
28.518,26-Dec-13
28.647,27-Dec-13
28.51,30-Dec-13
28.59,31-Dec-13
28.595,01-Jan-14
28.121,02-Jan-14
28.089,03-Jan-14
27.985,06-Jan-14
27.743,07-Jan-14
27.758,08-Jan-14
27.56,09-Jan-14
27.411,10-Jan-14
27.791,13-Jan-14
27.642,14-Jan-14
27.855,15-Jan-14
27.848,16-Jan-14
27.578,17-Jan-14
27.844,20-Jan-14
27.931,21-Jan-14
28.052,22-Jan-14
28.056,23-Jan-14
27.57,24-Jan-14
26.897,27-Jan-14
26.929,28-Jan-14
26.877,29-Jan-14
26.661,30-Jan-14
26.986,31-Jan-14
26.637,03-Feb-14
26.648,04-Feb-14
26.862,05-Feb-14
26.813,06-Feb-14
27.013,07-Feb-14
26.97,10-Feb-14
27.072,11-Feb-14
27.184,12-Feb-14
26.795,13-Feb-14
26.861,14-Feb-14
26.885,17-Feb-14
27.061,18-Feb-14
27.124,19-Feb-14
27.002,20-Feb-14
27.293,21-Feb-14
27.331,24-Feb-14
27.352,25-Feb-14
27.444,26-Feb-14
