Net Asset Value,NAV date
15.2,01-Jan-13
15.33,02-Jan-13
15.39,03-Jan-13
15.41,04-Jan-13
15.35,07-Jan-13
15.38,08-Jan-13
15.35,09-Jan-13
15.35,10-Jan-13
15.31,11-Jan-13
15.47,14-Jan-13
15.53,15-Jan-13
15.38,16-Jan-13
15.48,17-Jan-13
15.57,18-Jan-13
15.64,21-Jan-13
15.52,22-Jan-13
15.51,23-Jan-13
15.43,24-Jan-13
15.59,25-Jan-13
15.59,28-Jan-13
15.5,29-Jan-13
15.51,30-Jan-13
15.43,31-Jan-13
15.36,01-Feb-13
15.32,04-Feb-13
15.22,05-Feb-13
15.24,06-Feb-13
15.17,07-Feb-13
15.06,08-Feb-13
15.05,11-Feb-13
15.13,12-Feb-13
15.1,13-Feb-13
14.99,14-Feb-13
14.94,15-Feb-13
14.97,18-Feb-13
15.09,19-Feb-13
15.07,20-Feb-13
14.83,21-Feb-13
14.82,22-Feb-13
14.8,25-Feb-13
14.56,26-Feb-13
14.68,27-Feb-13
14.37,28-Feb-13
14.47,01-Mar-13
14.41,04-Mar-13
14.58,05-Mar-13
14.72,06-Mar-13
14.82,07-Mar-13
15.04,08-Mar-13
15.01,11-Mar-13
14.91,12-Mar-13
14.74,13-Mar-13
14.89,14-Mar-13
14.77,15-Mar-13
14.67,18-Mar-13
14.47,19-Mar-13
14.29,20-Mar-13
14.17,21-Mar-13
14.14,22-Mar-13
14.09,25-Mar-13
14.1,26-Mar-13
14.22,28-Mar-13
14.3,01-Apr-13
14.41,02-Apr-13
14.21,03-Apr-13
14,04-Apr-13
13.97,05-Apr-13
13.96,08-Apr-13
13.84,09-Apr-13
14.01,10-Apr-13
14.12,11-Apr-13
13.92,12-Apr-13
14.01,15-Apr-13
14.24,16-Apr-13
14.27,17-Apr-13
14.47,18-Apr-13
14.6,22-Apr-13
14.59,23-Apr-13
14.8,25-Apr-13
14.75,26-Apr-13
14.83,29-Apr-13
14.87,30-Apr-13
15.01,02-May-13
14.85,03-May-13
14.93,06-May-13
15.09,07-May-13
15.1,08-May-13
15.05,09-May-13
15.17,10-May-13
14.89,13-May-13
14.91,14-May-13
15.24,15-May-13
15.33,16-May-13
15.38,17-May-13
15.3,20-May-13
15.18,21-May-13
15.09,22-May-13
14.7,23-May-13
14.78,24-May-13
