Net Asset Value,NAV date
111.103,01-Jan-13
111.73,02-Jan-13
112.126,03-Jan-13
112.697,04-Jan-13
112.706,07-Jan-13
112.822,08-Jan-13
112.723,09-Jan-13
112.62,10-Jan-13
112.072,11-Jan-13
113.198,14-Jan-13
114.201,15-Jan-13
113.348,16-Jan-13
114.265,17-Jan-13
115.065,18-Jan-13
115.716,21-Jan-13
115.152,22-Jan-13
115.39,23-Jan-13
114.375,24-Jan-13
115.125,25-Jan-13
114.967,28-Jan-13
114.383,29-Jan-13
114.493,30-Jan-13
114.009,31-Jan-13
113.81,01-Feb-13
112.963,04-Feb-13
112.015,05-Feb-13
111.941,06-Feb-13
111.184,07-Feb-13
110.569,08-Feb-13
110.412,11-Feb-13
111.589,12-Feb-13
111.802,13-Feb-13
110.586,14-Feb-13
110.365,15-Feb-13
110.227,18-Feb-13
111.021,19-Feb-13
111.19,20-Feb-13
109.479,21-Feb-13
109.93,22-Feb-13
109.632,25-Feb-13
107.942,26-Feb-13
108.776,27-Feb-13
107.034,28-Feb-13
107.751,01-Mar-13
107.57,04-Mar-13
109.029,05-Mar-13
109.505,06-Mar-13
110.385,07-Mar-13
111.989,08-Mar-13
111.839,11-Mar-13
111.235,12-Mar-13
109.989,13-Mar-13
111.015,14-Mar-13
110.268,15-Mar-13
109.48,18-Mar-13
107.681,19-Mar-13
106.157,20-Mar-13
106.028,21-Mar-13
105.668,22-Mar-13
105.6,25-Mar-13
105.757,26-Mar-13
106.707,28-Mar-13
107.106,01-Apr-13
107.987,02-Apr-13
106.548,03-Apr-13
104.92,04-Apr-13
104.764,05-Apr-13
104.891,08-Apr-13
103.659,09-Apr-13
104.823,10-Apr-13
105.263,11-Apr-13
104.873,12-Apr-13
105.858,15-Apr-13
108.07,16-Apr-13
107.783,17-Apr-13
109.346,18-Apr-13
110.413,22-Apr-13
110.477,23-Apr-13
111.614,25-Apr-13
111.1,26-Apr-13
111.579,29-Apr-13
111.852,30-Apr-13
112.959,02-May-13
111.828,03-May-13
112.352,06-May-13
113.464,07-May-13
113.388,08-May-13
113.052,09-May-13
113.701,10-May-13
111.846,13-May-13
112.059,14-May-13
114.61,15-May-13
115.251,16-May-13
115.344,17-May-13
114.464,20-May-13
113.785,21-May-13
113.418,22-May-13
110.872,23-May-13
111.274,24-May-13
113.199,27-May-13
114.07,28-May-13
113.705,29-May-13
113.55,30-May-13
111.334,31-May-13
110.781,03-Jun-13
110.719,04-Jun-13
110.955,05-Jun-13
110.927,06-Jun-13
110.108,07-Jun-13
109.693,10-Jun-13
107.75,11-Jun-13
107.408,12-Jun-13
106.665,13-Jun-13
108.51,14-Jun-13
109.012,17-Jun-13
108.409,18-Jun-13
108.861,19-Jun-13
105.58,20-Jun-13
105.638,21-Jun-13
104.08,24-Jun-13
104.546,25-Jun-13
103.992,26-Jun-13
105.53,27-Jun-13
108.644,28-Jun-13
109.654,01-Jul-13
108.946,02-Jul-13
106.988,03-Jul-13
107.928,04-Jul-13
108.325,05-Jul-13
107.034,08-Jul-13
107.837,09-Jul-13
106.992,10-Jul-13
109.15,11-Jul-13
110.39,12-Jul-13
111.011,15-Jul-13
109.441,16-Jul-13
108.747,17-Jul-13
110.245,18-Jul-13
110.143,19-Jul-13
110.023,22-Jul-13
110.682,23-Jul-13
108.869,24-Jul-13
107.735,25-Jul-13
106.939,26-Jul-13
105.631,29-Jul-13
103.621,30-Jul-13
104.436,31-Jul-13
103.391,01-Aug-13
102.156,02-Aug-13
102.484,05-Aug-13
99.694,06-Aug-13
100.264,07-Aug-13
101.099,08-Aug-13
102.014,12-Aug-13
103.282,13-Aug-13
104.075,14-Aug-13
99.845,16-Aug-13
97.989,19-Aug-13
98.083,20-Aug-13
96.041,21-Aug-13
98.302,22-Aug-13
99.614,23-Aug-13
99.451,26-Aug-13
96.268,27-Aug-13
95.497,28-Aug-13
97.424,29-Aug-13
98.066,30-Aug-13
99.406,02-Sep-13
96.057,03-Sep-13
98.037,04-Sep-13
101.061,05-Sep-13
102.808,06-Sep-13
105.686,10-Sep-13
106.594,11-Sep-13
105.165,12-Sep-13
105.307,13-Sep-13
105.408,16-Sep-13
105.426,17-Sep-13
106.627,18-Sep-13
111.183,19-Sep-13
108.668,20-Sep-13
105.949,23-Sep-13
105.785,24-Sep-13
105.788,25-Sep-13
105.891,26-Sep-13
104.887,27-Sep-13
102.907,30-Sep-13
103.845,01-Oct-13
106.08,03-Oct-13
106.143,04-Oct-13
106.154,07-Oct-13
106.611,08-Oct-13
107.981,09-Oct-13
108.501,10-Oct-13
110.49,11-Oct-13
110.932,14-Oct-13
110.193,15-Oct-13
109.185,17-Oct-13
111.855,18-Oct-13
112.655,21-Oct-13
112.776,22-Oct-13
112.865,23-Oct-13
112.895,24-Oct-13
112.349,25-Oct-13
111.38,28-Oct-13
113.919,29-Oct-13
114.388,30-Oct-13
115.696,31-Oct-13
116.4,01-Nov-13
115.928,05-Nov-13
114.838,06-Nov-13
113.486,07-Nov-13
112.589,08-Nov-13
110.902,11-Nov-13
109.61,12-Nov-13
109.16,13-Nov-13
111.148,14-Nov-13
113.257,18-Nov-13
113.705,19-Nov-13
112.269,20-Nov-13
110.158,21-Nov-13
109.951,22-Nov-13
111.986,25-Nov-13
110.925,26-Nov-13
110.864,27-Nov-13
111.25,28-Nov-13
112.796,29-Nov-13
113.606,02-Dec-13
113.364,03-Dec-13
112.489,04-Dec-13
