Net Asset Value,NAV date
33.3153,01-Jan-13
33.3273,02-Jan-13
33.4023,03-Jan-13
33.468,04-Jan-13
33.5555,07-Jan-13
33.5586,08-Jan-13
33.586,09-Jan-13
33.6468,10-Jan-13
33.6776,11-Jan-13
33.8444,14-Jan-13
33.7813,15-Jan-13
33.6701,16-Jan-13
33.7331,17-Jan-13
33.7236,18-Jan-13
33.7191,21-Jan-13
33.726,22-Jan-13
33.6914,23-Jan-13
33.6702,24-Jan-13
33.7176,28-Jan-13
33.7306,29-Jan-13
33.6728,30-Jan-13
33.6328,31-Jan-13
33.6352,01-Feb-13
33.6028,04-Feb-13
33.6138,05-Feb-13
33.6478,06-Feb-13
33.7406,07-Feb-13
33.7933,08-Feb-13
33.7939,11-Feb-13
33.779,12-Feb-13
33.8168,13-Feb-13
33.8409,14-Feb-13
33.8218,15-Feb-13
33.828,18-Feb-13
33.8624,20-Feb-13
33.857,21-Feb-13
33.8755,22-Feb-13
33.8792,25-Feb-13
33.8548,26-Feb-13
33.8696,27-Feb-13
33.7658,28-Feb-13
33.734,01-Mar-13
33.766,04-Mar-13
33.7873,05-Mar-13
33.8262,06-Mar-13
33.8358,07-Mar-13
33.8728,08-Mar-13
33.8809,11-Mar-13
33.8423,12-Mar-13
33.8406,13-Mar-13
33.9092,14-Mar-13
33.9292,15-Mar-13
33.9017,18-Mar-13
33.8663,19-Mar-13
33.8333,20-Mar-13
33.8411,21-Mar-13
33.8142,22-Mar-13
33.8426,25-Mar-13
33.838,26-Mar-13
33.8762,28-Mar-13
33.9144,02-Apr-13
33.9623,03-Apr-13
33.996,04-Apr-13
34.0261,05-Apr-13
34.097,08-Apr-13
34.1423,09-Apr-13
34.1507,10-Apr-13
34.2217,12-Apr-13
34.3143,15-Apr-13
34.3567,16-Apr-13
34.41,17-Apr-13
34.484,18-Apr-13
34.5484,22-Apr-13
34.5834,23-Apr-13
34.5527,25-Apr-13
34.5939,26-Apr-13
34.6008,29-Apr-13
34.6516,30-Apr-13
34.698,02-May-13
34.6717,03-May-13
34.7102,06-May-13
34.751,07-May-13
34.8832,08-May-13
35.0986,09-May-13
35.1243,10-May-13
35.1632,13-May-13
35.4291,14-May-13
35.5293,15-May-13
35.6215,16-May-13
35.6035,17-May-13
35.7083,20-May-13
35.7336,21-May-13
35.7037,22-May-13
35.6818,23-May-13
35.7555,24-May-13
35.7786,27-May-13
35.7652,28-May-13
35.6925,29-May-13
35.6359,30-May-13
35.5919,31-May-13
35.6131,03-Jun-13
35.7085,04-Jun-13
35.7032,05-Jun-13
35.6936,06-Jun-13
35.6438,07-Jun-13
35.5695,10-Jun-13
35.4845,11-Jun-13
35.4933,12-Jun-13
35.4584,13-Jun-13
35.493,14-Jun-13
35.6367,17-Jun-13
35.619,18-Jun-13
35.6285,19-Jun-13
35.3467,20-Jun-13
35.3389,21-Jun-13
35.189,24-Jun-13
35.2021,25-Jun-13
35.0737,26-Jun-13
35.0753,27-Jun-13
35.2887,28-Jun-13
35.2762,02-Jul-13
35.1625,03-Jul-13
35.2995,04-Jul-13
35.2397,05-Jul-13
35.1199,08-Jul-13
35.1763,09-Jul-13
35.2036,10-Jul-13
35.3064,11-Jul-13
35.2117,12-Jul-13
35.1635,15-Jul-13
34.0289,16-Jul-13
34.004,17-Jul-13
34.2196,18-Jul-13
34.3037,19-Jul-13
34.0732,22-Jul-13
33.8596,23-Jul-13
33.54,24-Jul-13
33.7876,25-Jul-13
33.9048,26-Jul-13
33.899,29-Jul-13
33.675,30-Jul-13
33.6395,31-Jul-13
33.8184,01-Aug-13
33.6076,02-Aug-13
33.7506,05-Aug-13
33.653,06-Aug-13
33.7009,07-Aug-13
33.7661,08-Aug-13
33.4645,12-Aug-13
33.2646,13-Aug-13
33.1058,14-Aug-13
32.6833,16-Aug-13
32.1752,19-Aug-13
32.6115,20-Aug-13
33.501,21-Aug-13
33.7153,22-Aug-13
33.627,23-Aug-13
33.6083,26-Aug-13
33.0682,27-Aug-13
32.7637,28-Aug-13
32.9521,29-Aug-13
33.0978,30-Aug-13
33.4031,02-Sep-13
33.2955,03-Sep-13
33.4991,04-Sep-13
33.5531,05-Sep-13
33.3571,06-Sep-13
