Net Asset Value,NAV date
18.2067,01-Jan-13
18.2263,02-Jan-13
18.2551,03-Jan-13
18.2978,04-Jan-13
18.3123,07-Jan-13
18.3206,08-Jan-13
18.309,09-Jan-13
18.321,10-Jan-13
18.3311,11-Jan-13
18.386,14-Jan-13
18.3905,15-Jan-13
18.3482,16-Jan-13
18.3969,17-Jan-13
18.3975,18-Jan-13
18.3974,21-Jan-13
18.3899,22-Jan-13
18.3743,23-Jan-13
18.344,24-Jan-13
18.3883,28-Jan-13
18.3765,29-Jan-13
18.3663,30-Jan-13
18.3696,31-Jan-13
18.3689,01-Feb-13
18.3392,04-Feb-13
18.3351,05-Feb-13
18.3541,06-Feb-13
18.3528,07-Feb-13
18.3597,08-Feb-13
18.3421,11-Feb-13
18.3477,12-Feb-13
18.3693,13-Feb-13
18.3543,14-Feb-13
18.3569,15-Feb-13
18.3634,18-Feb-13
18.4218,20-Feb-13
18.3653,21-Feb-13
18.377,22-Feb-13
18.3622,25-Feb-13
18.3033,26-Feb-13
18.3552,27-Feb-13
18.2272,28-Feb-13
18.2412,01-Mar-13
18.2248,04-Mar-13
18.2914,05-Mar-13
18.3368,06-Mar-13
18.3573,07-Mar-13
18.3999,08-Mar-13
18.4079,11-Mar-13
18.3725,12-Mar-13
18.3202,13-Mar-13
18.3651,14-Mar-13
18.3466,15-Mar-13
18.3242,18-Mar-13
18.2563,19-Mar-13
18.1723,20-Mar-13
18.1507,21-Mar-13
18.1447,22-Mar-13
18.148,25-Mar-13
18.1456,26-Mar-13
18.2011,28-Mar-13
18.2566,02-Apr-13
18.2291,03-Apr-13
18.177,04-Apr-13
18.1925,05-Apr-13
18.2007,08-Apr-13
18.1718,09-Apr-13
18.1999,10-Apr-13
18.2211,12-Apr-13
18.2741,15-Apr-13
18.3546,16-Apr-13
18.3799,17-Apr-13
18.4438,18-Apr-13
18.4978,22-Apr-13
18.5074,23-Apr-13
18.5212,25-Apr-13
18.5264,26-Apr-13
18.5503,29-Apr-13
18.5898,30-Apr-13
18.6348,02-May-13
18.602,03-May-13
18.6385,06-May-13
18.6817,07-May-13
18.7101,08-May-13
18.7791,09-May-13
18.8042,10-May-13
18.7796,13-May-13
18.8798,14-May-13
19.0004,15-May-13
19.0681,16-May-13
19.0879,17-May-13
19.106,20-May-13
19.0831,21-May-13
19.0466,22-May-13
18.9597,23-May-13
19.0155,24-May-13
19.0533,27-May-13
19.0685,28-May-13
19.0231,29-May-13
18.9964,30-May-13
18.9115,31-May-13
18.9221,03-Jun-13
18.9536,04-Jun-13
18.9846,05-Jun-13
18.9816,06-Jun-13
18.9486,07-Jun-13
18.9064,10-Jun-13
18.805,11-Jun-13
18.7987,12-Jun-13
18.7326,13-Jun-13
18.8072,14-Jun-13
18.8664,17-Jun-13
18.8356,18-Jun-13
18.8546,19-Jun-13
18.6991,20-Jun-13
18.687,21-Jun-13
18.5808,24-Jun-13
18.5968,25-Jun-13
18.5404,26-Jun-13
18.5619,27-Jun-13
18.6751,28-Jun-13
18.688,02-Jul-13
18.6042,03-Jul-13
18.6518,04-Jul-13
18.637,05-Jul-13
18.5823,08-Jul-13
18.6257,09-Jul-13
18.6196,10-Jul-13
18.6901,11-Jul-13
18.6552,12-Jul-13
18.6765,15-Jul-13
18.2542,16-Jul-13
18.222,17-Jul-13
18.3435,18-Jul-13
18.3693,19-Jul-13
18.2813,22-Jul-13
18.2286,23-Jul-13
18.014,24-Jul-13
18.0471,25-Jul-13
18.04,26-Jul-13
18.0142,29-Jul-13
17.8665,30-Jul-13
17.8665,31-Jul-13
17.8902,01-Aug-13
17.8071,02-Aug-13
17.8526,05-Aug-13
17.7303,06-Aug-13
17.7714,07-Aug-13
17.8231,08-Aug-13
17.8078,12-Aug-13
17.802,13-Aug-13
17.7839,14-Aug-13
17.5839,16-Aug-13
17.4388,19-Aug-13
17.5166,20-Aug-13
17.659,21-Aug-13
17.7286,22-Aug-13
17.7622,23-Aug-13
17.7363,26-Aug-13
17.4516,27-Aug-13
17.3095,28-Aug-13
17.4349,29-Aug-13
17.5104,30-Aug-13
17.633,02-Sep-13
17.5663,03-Sep-13
17.7039,04-Sep-13
17.8622,05-Sep-13
17.7862,06-Sep-13
17.9729,10-Sep-13
18.0289,11-Sep-13
17.9833,12-Sep-13
17.9898,13-Sep-13
18.0205,16-Sep-13
18.0384,17-Sep-13
18.1031,18-Sep-13
18.2797,19-Sep-13
18.1785,20-Sep-13
18.0396,23-Sep-13
18.045,24-Sep-13
18.061,25-Sep-13
18.1091,26-Sep-13
18.1252,27-Sep-13
18.0887,30-Sep-13
18.1303,01-Oct-13
18.2465,03-Oct-13
18.2826,04-Oct-13
18.3046,07-Oct-13
18.4202,08-Oct-13
18.4794,09-Oct-13
18.4976,10-Oct-13
18.5314,11-Oct-13
18.5273,14-Oct-13
18.4967,15-Oct-13
18.5019,17-Oct-13
18.6077,18-Oct-13
18.6373,21-Oct-13
18.6618,22-Oct-13
18.6468,23-Oct-13
18.6544,24-Oct-13
18.654,25-Oct-13
18.6016,28-Oct-13
18.732,29-Oct-13
18.7521,30-Oct-13
18.772,31-Oct-13
18.7708,01-Nov-13
18.7589,05-Nov-13
18.7283,06-Nov-13
