Net Asset Value,NAV date
16.9361,01-Jan-13
16.9652,02-Jan-13
16.961,03-Jan-13
16.9658,04-Jan-13
16.9742,07-Jan-13
16.9707,08-Jan-13
16.9924,09-Jan-13
16.9956,10-Jan-13
17.008,11-Jan-13
16.9893,14-Jan-13
17.0094,15-Jan-13
17.0313,16-Jan-13
17.0202,17-Jan-13
17.0287,18-Jan-13
17.0369,21-Jan-13
17.0703,22-Jan-13
17.0642,23-Jan-13
17.0876,24-Jan-13
17.0777,25-Jan-13
17.0941,28-Jan-13
17.1003,29-Jan-13
17.0909,30-Jan-13
17.1089,31-Jan-13
17.0954,01-Feb-13
17.1388,04-Feb-13
17.1163,05-Feb-13
17.1323,06-Feb-13
17.1367,07-Feb-13
17.1388,08-Feb-13
17.1404,11-Feb-13
17.1428,12-Feb-13
17.1565,13-Feb-13
17.1624,14-Feb-13
17.1514,15-Feb-13
17.1695,18-Feb-13
17.1663,19-Feb-13
17.1787,20-Feb-13
17.1983,21-Feb-13
17.1879,22-Feb-13
17.2075,25-Feb-13
17.2092,26-Feb-13
17.2117,27-Feb-13
17.2108,28-Feb-13
17.2253,01-Mar-13
17.2373,04-Mar-13
17.2317,05-Mar-13
17.2341,06-Mar-13
17.2334,07-Mar-13
17.2357,08-Mar-13
17.253,11-Mar-13
17.2503,12-Mar-13
17.2557,13-Mar-13
17.2415,14-Mar-13
17.2609,15-Mar-13
17.2685,18-Mar-13
17.2839,19-Mar-13
17.2679,20-Mar-13
17.3076,21-Mar-13
17.2956,22-Mar-13
17.3184,25-Mar-13
17.3263,26-Mar-13
17.3315,28-Mar-13
17.352,01-Apr-13
17.3498,02-Apr-13
17.3815,03-Apr-13
17.3848,04-Apr-13
17.3807,05-Apr-13
17.3824,08-Apr-13
17.4055,09-Apr-13
17.3967,10-Apr-13
17.4133,11-Apr-13
17.4095,12-Apr-13
17.4267,15-Apr-13
17.4212,16-Apr-13
17.4361,17-Apr-13
17.4426,18-Apr-13
17.4527,22-Apr-13
17.4512,23-Apr-13
17.456,25-Apr-13
17.4751,26-Apr-13
17.4725,29-Apr-13
17.4989,30-Apr-13
17.5022,02-May-13
17.5068,03-May-13
17.5094,06-May-13
17.5142,07-May-13
17.5164,08-May-13
17.5217,09-May-13
17.5113,10-May-13
17.5272,13-May-13
17.5211,14-May-13
17.5159,15-May-13
17.52,16-May-13
17.5203,17-May-13
17.5375,20-May-13
17.5421,21-May-13
17.5423,22-May-13
17.553,23-May-13
17.5513,24-May-13
17.5576,27-May-13
17.5649,28-May-13
17.5767,29-May-13
17.5823,30-May-13
17.5994,31-May-13
17.5912,03-Jun-13
17.606,04-Jun-13
17.6095,05-Jun-13
17.6152,06-Jun-13
17.6264,07-Jun-13
17.6324,10-Jun-13
17.6341,11-Jun-13
17.6319,12-Jun-13
17.6479,13-Jun-13
17.6537,14-Jun-13
17.6585,17-Jun-13
17.6703,18-Jun-13
17.6698,19-Jun-13
17.6884,20-Jun-13
17.6879,21-Jun-13
17.6907,24-Jun-13
17.6945,25-Jun-13
17.7068,26-Jun-13
17.6933,27-Jun-13
17.708,28-Jun-13
17.7189,01-Jul-13
17.7282,02-Jul-13
17.7379,03-Jul-13
17.7356,04-Jul-13
17.7341,05-Jul-13
17.7272,08-Jul-13
17.7359,09-Jul-13
17.7629,10-Jul-13
17.7606,11-Jul-13
17.7588,12-Jul-13
17.7512,15-Jul-13
17.725,16-Jul-13
17.7302,17-Jul-13
17.7273,18-Jul-13
17.7444,19-Jul-13
17.7439,22-Jul-13
17.7379,23-Jul-13
17.7358,24-Jul-13
17.7413,25-Jul-13
17.7564,26-Jul-13
17.7613,29-Jul-13
17.7725,30-Jul-13
17.7581,31-Jul-13
17.7746,01-Aug-13
17.7724,02-Aug-13
17.7691,05-Aug-13
17.7895,06-Aug-13
17.7833,07-Aug-13
17.792,08-Aug-13
17.8201,12-Aug-13
17.8164,13-Aug-13
17.8261,14-Aug-13
17.8527,16-Aug-13
17.8371,19-Aug-13
17.8403,20-Aug-13
17.8582,21-Aug-13
17.8299,22-Aug-13
17.8668,23-Aug-13
17.878,26-Aug-13
17.8786,27-Aug-13
17.8643,28-Aug-13
17.8571,29-Aug-13
17.8923,30-Aug-13
17.8861,02-Sep-13
17.9217,03-Sep-13
17.9022,04-Sep-13
17.9023,05-Sep-13
17.9124,06-Sep-13
17.9264,10-Sep-13
17.9169,11-Sep-13
17.944,12-Sep-13
17.9417,13-Sep-13
17.9611,16-Sep-13
17.9614,17-Sep-13
17.9606,18-Sep-13
17.9744,19-Sep-13
17.9888,20-Sep-13
17.9998,23-Sep-13
18.0014,24-Sep-13
