Net Asset Value,NAV date
13.381,01-Jan-13
13.478,02-Jan-13
13.483,03-Jan-13
13.488,04-Jan-13
13.464,07-Jan-13
13.489,08-Jan-13
13.461,09-Jan-13
13.454,10-Jan-13
13.36,11-Jan-13
13.497,14-Jan-13
13.587,15-Jan-13
13.383,16-Jan-13
13.417,17-Jan-13
13.392,18-Jan-13
13.38,21-Jan-13
13.325,22-Jan-13
13.328,23-Jan-13
13.129,24-Jan-13
13.265,25-Jan-13
13.276,28-Jan-13
13.206,29-Jan-13
13.209,30-Jan-13
13.226,31-Jan-13
13.185,01-Feb-13
13.121,04-Feb-13
13.051,05-Feb-13
13.05,06-Feb-13
12.99,07-Feb-13
12.896,08-Feb-13
12.927,11-Feb-13
12.995,12-Feb-13
13.029,13-Feb-13
12.899,14-Feb-13
12.898,15-Feb-13
12.888,18-Feb-13
12.98,19-Feb-13
12.99,20-Feb-13
12.77,21-Feb-13
12.78,22-Feb-13
12.756,25-Feb-13
12.557,26-Feb-13
12.672,27-Feb-13
12.439,28-Feb-13
12.486,01-Mar-13
12.424,04-Mar-13
12.625,05-Mar-13
12.726,06-Mar-13
12.808,07-Mar-13
12.917,08-Mar-13
12.913,11-Mar-13
12.851,12-Mar-13
12.678,13-Mar-13
12.788,14-Mar-13
12.704,15-Mar-13
12.599,18-Mar-13
12.398,19-Mar-13
12.22,20-Mar-13
12.203,21-Mar-13
12.148,22-Mar-13
12.075,25-Mar-13
12.084,26-Mar-13
12.182,28-Mar-13
12.225,01-Apr-13
12.361,02-Apr-13
12.206,03-Apr-13
12.011,04-Apr-13
12.012,05-Apr-13
12.006,08-Apr-13
11.886,09-Apr-13
11.999,10-Apr-13
12.099,11-Apr-13
11.898,12-Apr-13
11.94,15-Apr-13
12.126,16-Apr-13
12.173,17-Apr-13
12.369,18-Apr-13
12.493,22-Apr-13
12.5,23-Apr-13
12.666,25-Apr-13
12.619,26-Apr-13
12.708,29-Apr-13
12.765,30-Apr-13
12.89,02-May-13
12.756,03-May-13
12.857,06-May-13
12.969,07-May-13
12.993,08-May-13
12.935,09-May-13
13.016,10-May-13
12.849,13-May-13
12.933,14-May-13
13.231,15-May-13
13.295,16-May-13
13.3,17-May-13
13.228,20-May-13
13.151,21-May-13
13.129,22-May-13
12.916,23-May-13
12.928,24-May-13
13.139,27-May-13
13.203,28-May-13
13.177,29-May-13
13.171,30-May-13
12.959,31-May-13
12.911,03-Jun-13
12.887,04-Jun-13
12.921,05-Jun-13
12.903,06-Jun-13
12.836,07-Jun-13
12.763,10-Jun-13
12.556,11-Jun-13
12.503,12-Jun-13
12.363,13-Jun-13
12.56,14-Jun-13
12.667,17-Jun-13
12.626,18-Jun-13
12.656,19-Jun-13
12.362,20-Jun-13
12.373,21-Jun-13
12.154,24-Jun-13
12.183,25-Jun-13
12.13,26-Jun-13
12.311,27-Jun-13
12.64,28-Jun-13
