Net Asset Value,NAV date
17.701,05-Nov-14
17.741,07-Nov-14
17.743,10-Nov-14
17.806,11-Nov-14
17.863,12-Nov-14
17.805,13-Nov-14
17.878,14-Nov-14
17.974,17-Nov-14
18.016,18-Nov-14
17.954,19-Nov-14
17.905,20-Nov-14
17.984,21-Nov-14
18.066,24-Nov-14
17.94,25-Nov-14
17.965,26-Nov-14
18.027,27-Nov-14
18.183,28-Nov-14
18.141,01-Dec-14
18.177,02-Dec-14
18.262,03-Dec-14
18.289,04-Dec-14
18.24,05-Dec-14
18.064,08-Dec-14
17.9,09-Dec-14
17.969,10-Dec-14
17.924,11-Dec-14
17.862,12-Dec-14
17.795,15-Dec-14
17.523,16-Dec-14
17.475,17-Dec-14
17.692,18-Dec-14
17.766,19-Dec-14
17.89,22-Dec-14
17.843,23-Dec-14
17.713,24-Dec-14
17.76,26-Dec-14
17.834,29-Dec-14
17.876,30-Dec-14
17.929,31-Dec-14
17.904,01-Jan-15
18.037,02-Jan-15
18.017,05-Jan-15
17.698,06-Jan-15
17.699,07-Jan-15
17.886,08-Jan-15
17.968,09-Jan-15
18.05,12-Jan-15
18.018,13-Jan-15
18.033,14-Jan-15
18.366,15-Jan-15
18.411,16-Jan-15
18.414,19-Jan-15
18.596,20-Jan-15
18.675,21-Jan-15
18.7,22-Jan-15
18.799,23-Jan-15
18.89,27-Jan-15
18.914,28-Jan-15
18.964,29-Jan-15
18.807,30-Jan-15
18.803,02-Feb-15
18.729,03-Feb-15
18.698,04-Feb-15
18.665,05-Feb-15
18.631,06-Feb-15
18.452,09-Feb-15
18.474,10-Feb-15
18.577,11-Feb-15
18.689,12-Feb-15
18.84,13-Feb-15
18.831,16-Feb-15
18.921,18-Feb-15
18.973,19-Feb-15
18.908,20-Feb-15
18.792,23-Feb-15
18.818,24-Feb-15
18.819,25-Feb-15
18.701,26-Feb-15
18.941,27-Feb-15
19.165,02-Mar-15
19.214,03-Mar-15
19.131,04-Mar-15
19.177,05-Mar-15
18.929,09-Mar-15
18.829,10-Mar-15
18.789,11-Mar-15
18.917,12-Mar-15
18.734,13-Mar-15
18.673,16-Mar-15
18.831,17-Mar-15
18.779,18-Mar-15
18.76,19-Mar-15
18.685,20-Mar-15
18.65,23-Mar-15
18.655,24-Mar-15
18.646,25-Mar-15
18.411,26-Mar-15
18.457,27-Mar-15
18.675,30-Mar-15
18.707,31-Mar-15
18.831,01-Apr-15
18.999,06-Apr-15
18.976,07-Apr-15
19.025,08-Apr-15
19.111,09-Apr-15
19.103,10-Apr-15
19.188,13-Apr-15
19.063,15-Apr-15
19.007,16-Apr-15
18.853,17-Apr-15
18.604,20-Apr-15
18.519,21-Apr-15
18.588,22-Apr-15
18.563,23-Apr-15
18.43,24-Apr-15
18.277,27-Apr-15
18.764,28-Apr-15
18.386,29-Apr-15
18.347,30-Apr-15
18.538,04-May-15
18.521,05-May-15
18.168,06-May-15
18.041,07-May-15
18.247,08-May-15
18.423,11-May-15
18.126,12-May-15
18.25,13-May-15
18.236,14-May-15
18.296,15-May-15
18.427,18-May-15
18.459,19-May-15
18.545,20-May-15
18.533,21-May-15
18.629,22-May-15
18.543,25-May-15
18.499,26-May-15
18.506,27-May-15
18.487,28-May-15
18.653,29-May-15
18.643,01-Jun-15
18.361,02-Jun-15
18.216,03-Jun-15
18.21,04-Jun-15
18.197,05-Jun-15
18.06,08-Jun-15
18.038,09-Jun-15
18.177,10-Jun-15
17.938,11-Jun-15
17.946,12-Jun-15
18.028,15-Jun-15
18.046,16-Jun-15
18.157,17-Jun-15
18.297,18-Jun-15
18.375,19-Jun-15
18.583,22-Jun-15
18.604,23-Jun-15
18.533,24-Jun-15
18.566,25-Jun-15
18.574,26-Jun-15
18.426,29-Jun-15
18.515,30-Jun-15
18.699,01-Jul-15
18.701,02-Jul-15
18.764,03-Jul-15
18.81,06-Jul-15
18.803,07-Jul-15
18.599,08-Jul-15
18.573,09-Jul-15
18.615,10-Jul-15
18.722,13-Jul-15
18.746,14-Jul-15
18.848,15-Jul-15
18.961,16-Jul-15
18.968,17-Jul-15
18.966,20-Jul-15
18.858,21-Jul-15
18.999,22-Jul-15
18.969,23-Jul-15
18.887,24-Jul-15
