Net Asset Value,NAV date
15.6467,01-Jan-13
15.673,02-Jan-13
15.6752,03-Jan-13
15.6725,04-Jan-13
15.6829,07-Jan-13
15.681,08-Jan-13
15.6934,09-Jan-13
15.6869,10-Jan-13
15.7075,11-Jan-13
15.6966,14-Jan-13
15.7016,15-Jan-13
15.7307,16-Jan-13
15.7182,17-Jan-13
15.7201,18-Jan-13
15.7281,21-Jan-13
15.7569,22-Jan-13
15.7447,23-Jan-13
15.7633,24-Jan-13
15.7618,25-Jan-13
15.7767,28-Jan-13
15.7761,29-Jan-13
15.7802,30-Jan-13
15.8031,31-Jan-13
15.7803,01-Feb-13
15.8146,04-Feb-13
15.7854,05-Feb-13
15.8149,06-Feb-13
15.8143,07-Feb-13
15.8157,08-Feb-13
15.8126,11-Feb-13
15.8122,12-Feb-13
15.8308,13-Feb-13
15.817,14-Feb-13
15.8123,15-Feb-13
15.8374,18-Feb-13
15.8367,19-Feb-13
15.837,20-Feb-13
15.8435,21-Feb-13
15.8309,22-Feb-13
15.8829,25-Feb-13
15.8935,26-Feb-13
15.8853,27-Feb-13
15.9066,28-Feb-13
15.9205,01-Mar-13
15.926,04-Mar-13
15.92,05-Mar-13
15.9107,06-Mar-13
15.9119,07-Mar-13
15.9144,08-Mar-13
15.9322,11-Mar-13
15.9222,12-Mar-13
15.9404,13-Mar-13
15.9195,14-Mar-13
15.9387,15-Mar-13
15.9505,18-Mar-13
15.9594,19-Mar-13
15.9566,20-Mar-13
15.9867,21-Mar-13
15.9744,22-Mar-13
15.9878,25-Mar-13
16.0034,26-Mar-13
16.0125,28-Mar-13
16.0148,31-Mar-13
16.0213,01-Apr-13
16.0332,02-Apr-13
16.0556,03-Apr-13
16.0579,04-Apr-13
16.0452,05-Apr-13
16.0558,08-Apr-13
16.082,09-Apr-13
16.0662,10-Apr-13
16.0747,11-Apr-13
16.0722,12-Apr-13
16.0836,15-Apr-13
16.0801,16-Apr-13
16.0889,17-Apr-13
16.0964,18-Apr-13
16.1092,22-Apr-13
16.1147,23-Apr-13
16.1121,25-Apr-13
16.1237,26-Apr-13
16.1258,29-Apr-13
16.1554,30-Apr-13
16.1539,02-May-13
16.1627,03-May-13
16.1546,06-May-13
16.1562,07-May-13
16.1582,08-May-13
16.1674,09-May-13
16.1494,10-May-13
16.1753,13-May-13
16.1659,14-May-13
16.1576,15-May-13
16.1607,16-May-13
16.1602,17-May-13
16.1744,20-May-13
16.1824,21-May-13
16.1824,22-May-13
16.1927,23-May-13
16.1905,24-May-13
16.1835,27-May-13
16.1944,28-May-13
16.203,29-May-13
16.2109,30-May-13
16.2287,31-May-13
16.2185,03-Jun-13
16.2339,04-Jun-13
16.238,05-Jun-13
16.241,06-Jun-13
16.2633,07-Jun-13
16.2619,10-Jun-13
16.2682,11-Jun-13
16.2694,12-Jun-13
16.2736,13-Jun-13
16.2786,14-Jun-13
16.2885,17-Jun-13
16.2981,18-Jun-13
16.2927,19-Jun-13
16.3157,20-Jun-13
16.3213,21-Jun-13
16.3156,24-Jun-13
16.327,25-Jun-13
16.3398,26-Jun-13
16.3279,27-Jun-13
16.3295,28-Jun-13
16.3323,01-Jul-13
16.3583,02-Jul-13
16.3636,03-Jul-13
16.3566,04-Jul-13
16.352,05-Jul-13
16.364,08-Jul-13
16.3529,09-Jul-13
16.3788,10-Jul-13
16.3672,11-Jul-13
16.375,12-Jul-13
16.3845,15-Jul-13
16.386,16-Jul-13
16.3902,17-Jul-13
16.3806,18-Jul-13
16.3901,19-Jul-13
16.3912,22-Jul-13
16.3883,23-Jul-13
16.3919,24-Jul-13
16.4109,25-Jul-13
16.4125,26-Jul-13
16.4222,29-Jul-13
16.4375,30-Jul-13
16.4363,31-Jul-13
16.4425,01-Aug-13
16.4636,02-Aug-13
16.4568,05-Aug-13
16.4745,06-Aug-13
16.4728,07-Aug-13
16.4802,08-Aug-13
16.5053,12-Aug-13
16.5052,13-Aug-13
16.5195,14-Aug-13
16.5375,16-Aug-13
16.5276,19-Aug-13
16.5426,20-Aug-13
16.5493,21-Aug-13
16.5365,22-Aug-13
16.5539,23-Aug-13
16.5634,26-Aug-13
16.5691,27-Aug-13
16.5614,28-Aug-13
16.5597,29-Aug-13
16.5837,30-Aug-13
16.5764,02-Sep-13
16.6074,03-Sep-13
16.5852,04-Sep-13
16.5841,05-Sep-13
