Net Asset Value,NAV date
16.72,01-Jan-13
16.82,02-Jan-13
16.85,03-Jan-13
16.87,04-Jan-13
16.8,07-Jan-13
16.83,08-Jan-13
16.79,09-Jan-13
16.77,10-Jan-13
16.71,11-Jan-13
16.91,14-Jan-13
17.02,15-Jan-13
16.88,16-Jan-13
17,17-Jan-13
17.01,18-Jan-13
17.05,21-Jan-13
16.95,22-Jan-13
16.99,23-Jan-13
16.83,24-Jan-13
16.96,25-Jan-13
17.02,28-Jan-13
16.91,29-Jan-13
16.91,30-Jan-13
16.87,31-Jan-13
16.86,01-Feb-13
16.82,04-Feb-13
16.7,05-Feb-13
16.72,06-Feb-13
16.66,07-Feb-13
16.61,08-Feb-13
16.58,11-Feb-13
16.662,12-Feb-13
16.7414,13-Feb-13
16.6015,14-Feb-13
16.595,15-Feb-13
16.5986,18-Feb-13
16.7131,19-Feb-13
16.7358,20-Feb-13
16.4805,21-Feb-13
16.5008,22-Feb-13
16.4594,25-Feb-13
16.2426,26-Feb-13
16.3873,27-Feb-13
16.169,28-Feb-13
16.2152,01-Mar-13
16.1516,04-Mar-13
16.3898,05-Mar-13
16.4901,06-Mar-13
16.6388,07-Mar-13
16.8252,08-Mar-13
16.8418,11-Mar-13
16.7992,12-Mar-13
16.6334,13-Mar-13
16.7883,14-Mar-13
16.6624,15-Mar-13
16.5595,18-Mar-13
16.3094,19-Mar-13
16.147,20-Mar-13
16.1072,21-Mar-13
16.0579,22-Mar-13
16.0197,25-Mar-13
16.0379,26-Mar-13
16.1506,28-Mar-13
16.1482,31-Mar-13
16.1828,01-Apr-13
16.2929,02-Apr-13
16.1092,03-Apr-13
15.8544,04-Apr-13
15.8378,05-Apr-13
15.8254,08-Apr-13
15.7005,09-Apr-13
15.857,10-Apr-13
15.951,11-Apr-13
15.747,12-Apr-13
15.8023,15-Apr-13
16.077,16-Apr-13
16.1095,17-Apr-13
16.3169,18-Apr-13
16.5198,22-Apr-13
16.5125,23-Apr-13
16.671,25-Apr-13
16.6214,26-Apr-13
16.6967,29-Apr-13
16.728,30-Apr-13
16.8712,02-May-13
16.7493,03-May-13
16.8728,06-May-13
17.0228,07-May-13
17.1185,08-May-13
17.0845,09-May-13
17.1982,10-May-13
16.8951,13-May-13
