Net Asset Value,NAV date
61.46,01-Jan-13
61.91,02-Jan-13
62.49,03-Jan-13
62.5,04-Jan-13
62.36,07-Jan-13
62.11,08-Jan-13
62.03,09-Jan-13
61.86,10-Jan-13
61.25,11-Jan-13
61.79,14-Jan-13
61.57,15-Jan-13
60.98,16-Jan-13
61,17-Jan-13
60.64,18-Jan-13
60.68,21-Jan-13
60.13,22-Jan-13
59.86,23-Jan-13
59.19,24-Jan-13
59.94,25-Jan-13
60.1,28-Jan-13
60.04,29-Jan-13
59.88,30-Jan-13
60.4,31-Jan-13
60.47,01-Feb-13
59.8,04-Feb-13
59.46,05-Feb-13
59.36,06-Feb-13
58.98,07-Feb-13
58.51,08-Feb-13
58.42,11-Feb-13
58.6028,12-Feb-13
58.5663,13-Feb-13
58.2675,14-Feb-13
58.0975,15-Feb-13
57.9542,18-Feb-13
58.6486,19-Feb-13
58.8041,20-Feb-13
57.8888,21-Feb-13
57.7746,22-Feb-13
57.176,25-Feb-13
56.3723,26-Feb-13
56.7591,27-Feb-13
55.7867,28-Feb-13
56.019,01-Mar-13
55.1017,04-Mar-13
55.5227,05-Mar-13
55.9325,06-Mar-13
56.3966,07-Mar-13
56.6603,08-Mar-13
56.5404,11-Mar-13
56.219,12-Mar-13
55.8373,13-Mar-13
56.1815,14-Mar-13
55.8633,15-Mar-13
55.822,18-Mar-13
55.2711,19-Mar-13
54.3702,20-Mar-13
53.635,21-Mar-13
53.6223,22-Mar-13
53.3205,25-Mar-13
53.2861,26-Mar-13
53.764,28-Mar-13
53.7559,31-Mar-13
53.9305,01-Apr-13
54.7143,02-Apr-13
54.8026,03-Apr-13
53.6945,04-Apr-13
53.9793,05-Apr-13
53.6874,08-Apr-13
53.4141,09-Apr-13
53.5763,10-Apr-13
53.6301,11-Apr-13
53.6012,12-Apr-13
53.7984,15-Apr-13
54.0772,16-Apr-13
53.9308,17-Apr-13
54.427,18-Apr-13
54.9906,22-Apr-13
54.9546,23-Apr-13
55.5362,25-Apr-13
55.3976,26-Apr-13
55.6952,29-Apr-13
55.504,30-Apr-13
56.1436,02-May-13
56.3974,03-May-13
56.8278,06-May-13
57.2079,07-May-13
57.3465,08-May-13
57.3499,09-May-13
57.478,10-May-13
57.0675,13-May-13
57.2502,14-May-13
58.1825,15-May-13
58.2339,16-May-13
58.6386,17-May-13
58.3247,20-May-13
57.7558,21-May-13
57.5054,22-May-13
56.603,23-May-13
