Net Asset Value,NAV date
56.72,01-Jan-13
56.96,02-Jan-13
57.58,03-Jan-13
57.66,04-Jan-13
57.71,07-Jan-13
57.73,08-Jan-13
57.81,09-Jan-13
57.77,10-Jan-13
57.51,11-Jan-13
57.95,14-Jan-13
58.05,15-Jan-13
57.77,16-Jan-13
57.99,17-Jan-13
57.92,18-Jan-13
57.9,21-Jan-13
57.63,22-Jan-13
57.54,23-Jan-13
57.13,24-Jan-13
57.5,25-Jan-13
57.64,28-Jan-13
57.7,29-Jan-13
57.85,30-Jan-13
57.93,31-Jan-13
57.75,01-Feb-13
57.39,04-Feb-13
57.18,05-Feb-13
57.11,06-Feb-13
56.99,07-Feb-13
56.75,08-Feb-13
56.54,11-Feb-13
56.7438,12-Feb-13
56.7705,13-Feb-13
56.5038,14-Feb-13
56.5594,15-Feb-13
56.4811,18-Feb-13
56.9581,19-Feb-13
57.0671,20-Feb-13
56.4578,21-Feb-13
56.4797,22-Feb-13
56.414,25-Feb-13
55.8508,26-Feb-13
56.1112,27-Feb-13
55.6324,28-Feb-13
55.4855,01-Mar-13
55.3085,04-Mar-13
55.6315,05-Mar-13
55.8995,06-Mar-13
56.1163,07-Mar-13
56.4375,08-Mar-13
56.3899,11-Mar-13
56.1502,12-Mar-13
55.8168,13-Mar-13
56.0206,14-Mar-13
55.7235,15-Mar-13
55.6438,18-Mar-13
55.1761,19-Mar-13
54.8613,20-Mar-13
54.6064,21-Mar-13
54.3077,22-Mar-13
54.2295,25-Mar-13
54.1404,26-Mar-13
54.531,28-Mar-13
54.5293,31-Mar-13
54.661,01-Apr-13
55.3184,02-Apr-13
55.0964,03-Apr-13
54.4432,04-Apr-13
54.2918,05-Apr-13
54.3499,08-Apr-13
54.0631,09-Apr-13
54.2078,10-Apr-13
54.2531,11-Apr-13
53.7374,12-Apr-13
53.8115,15-Apr-13
54.2329,16-Apr-13
54.4552,17-Apr-13
54.898,18-Apr-13
55.5429,22-Apr-13
55.6589,23-Apr-13
55.9722,25-Apr-13
55.7494,26-Apr-13
56.1227,29-Apr-13
56.0426,30-Apr-13
56.4724,02-May-13
56.432,03-May-13
56.8368,06-May-13
57.0822,07-May-13
57.2963,08-May-13
57.2848,09-May-13
57.3112,10-May-13
57.1566,13-May-13
57.382,14-May-13
58.013,15-May-13
58.3323,16-May-13
58.537,17-May-13
58.6207,20-May-13
58.3968,21-May-13
58.2571,22-May-13
57.4223,23-May-13
57.7796,24-May-13
58.1242,27-May-13
58.4699,28-May-13
58.3729,29-May-13
58.3416,30-May-13
57.659,31-May-13
57.6122,03-Jun-13
57.4706,04-Jun-13
57.5363,05-Jun-13
57.4307,06-Jun-13
57.1659,07-Jun-13
57.1114,10-Jun-13
56.3516,11-Jun-13
56.0603,12-Jun-13
55.8158,13-Jun-13
56.2742,14-Jun-13
56.4887,17-Jun-13
56.2058,18-Jun-13
56.4028,19-Jun-13
55.5767,20-Jun-13
55.5074,21-Jun-13
54.812,24-Jun-13
54.9459,25-Jun-13
54.7355,26-Jun-13
54.9629,27-Jun-13
55.8124,28-Jun-13
56.5359,01-Jul-13
56.3236,02-Jul-13
55.8665,03-Jul-13
56.1998,04-Jul-13
56.38,05-Jul-13
56.2872,08-Jul-13
56.54,09-Jul-13
56.421,10-Jul-13
57.0071,11-Jul-13
57.2807,12-Jul-13
57.6835,15-Jul-13
57.0532,16-Jul-13
56.8845,17-Jul-13
57.3425,18-Jul-13
57.2789,19-Jul-13
57.1098,22-Jul-13
57.368,23-Jul-13
56.5783,24-Jul-13
56.2159,25-Jul-13
56.1161,26-Jul-13
55.9297,29-Jul-13
55.2832,30-Jul-13
55.1453,31-Jul-13
54.9599,01-Aug-13
54.7213,02-Aug-13
54.839,05-Aug-13
54.1152,06-Aug-13
54.2089,07-Aug-13
54.537,08-Aug-13
54.6169,12-Aug-13
54.8488,13-Aug-13
55.2424,14-Aug-13
53.9407,16-Aug-13
53.0793,19-Aug-13
53.1428,20-Aug-13
53.0571,21-Aug-13
53.4836,22-Aug-13
53.8308,23-Aug-13
53.9413,26-Aug-13
52.8262,27-Aug-13
52.5469,28-Aug-13
53.2069,29-Aug-13
53.3293,30-Aug-13
53.7089,02-Sep-13
52.9755,03-Sep-13
53.3327,04-Sep-13
54.2894,05-Sep-13
54.5493,06-Sep-13
55.371,10-Sep-13
55.6277,11-Sep-13
55.5132,12-Sep-13
55.5436,13-Sep-13
55.6052,16-Sep-13
55.6698,17-Sep-13
55.9066,18-Sep-13
56.9569,19-Sep-13
56.3985,20-Sep-13
55.8621,23-Sep-13
55.7345,24-Sep-13
55.7312,25-Sep-13
55.8253,26-Sep-13
55.6471,27-Sep-13
55.2837,30-Sep-13
55.6206,01-Oct-13
56.2233,03-Oct-13
56.3727,04-Oct-13
56.4738,07-Oct-13
56.707,08-Oct-13
57.1823,09-Oct-13
57.3115,10-Oct-13
57.6369,11-Oct-13
57.5574,14-Oct-13
57.1344,15-Oct-13
57.0706,17-Oct-13
57.6249,18-Oct-13
57.8249,21-Oct-13
58.1523,22-Oct-13
58.1245,23-Oct-13
58.1928,24-Oct-13
58.2018,25-Oct-13
58.112,28-Oct-13
58.8871,29-Oct-13
59.0179,30-Oct-13
59.1467,31-Oct-13
59.3484,01-Nov-13
59.7671,05-Nov-13
59.9359,06-Nov-13
59.5386,07-Nov-13
59.645,08-Nov-13
59.4608,11-Nov-13
59.0061,12-Nov-13
58.8264,13-Nov-13
59.136,14-Nov-13
59.7051,18-Nov-13
60.1391,19-Nov-13
59.993,20-Nov-13
59.6032,21-Nov-13
59.533,22-Nov-13
60.0627,25-Nov-13
59.7563,26-Nov-13
59.8721,27-Nov-13
