Net Asset Value,NAV date
18.7853,01-Jan-13
18.8302,02-Jan-13
18.8387,03-Jan-13
18.8445,04-Jan-13
18.8532,07-Jan-13
18.8458,08-Jan-13
18.8554,09-Jan-13
18.8796,10-Jan-13
18.8386,11-Jan-13
18.8982,14-Jan-13
18.9458,15-Jan-13
18.869,16-Jan-13
18.9048,17-Jan-13
18.9395,18-Jan-13
18.9706,21-Jan-13
18.9221,22-Jan-13
18.9099,23-Jan-13
18.8563,24-Jan-13
18.9362,28-Jan-13
18.9424,29-Jan-13
18.944,30-Jan-13
18.9526,31-Jan-13
18.947,01-Feb-13
18.9134,04-Feb-13
18.8808,05-Feb-13
18.8957,06-Feb-13
18.9036,07-Feb-13
18.8671,08-Feb-13
18.8701,11-Feb-13
18.8821,12-Feb-13
18.8832,13-Feb-13
18.827,14-Feb-13
18.8374,15-Feb-13
18.8519,18-Feb-13
18.892,20-Feb-13
18.8083,21-Feb-13
18.7997,22-Feb-13
18.8025,25-Feb-13
18.7224,26-Feb-13
18.7734,27-Feb-13
18.6702,28-Feb-13
18.697,01-Mar-13
18.7069,04-Mar-13
18.7854,05-Mar-13
18.8133,06-Mar-13
18.85,07-Mar-13
18.9012,08-Mar-13
18.8877,11-Mar-13
18.8692,12-Mar-13
18.8264,13-Mar-13
18.9158,14-Mar-13
18.8979,15-Mar-13
18.8632,18-Mar-13
18.8019,19-Mar-13
18.757,20-Mar-13
18.7202,21-Mar-13
18.705,22-Mar-13
18.7301,25-Mar-13
18.7314,26-Mar-13
18.7778,28-Mar-13
18.7819,31-Mar-13
18.8565,02-Apr-13
18.8172,03-Apr-13
18.7816,04-Apr-13
18.797,05-Apr-13
18.8105,08-Apr-13
18.7827,09-Apr-13
18.8296,10-Apr-13
18.8578,12-Apr-13
18.9074,15-Apr-13
19.0122,16-Apr-13
19.0219,17-Apr-13
19.1214,18-Apr-13
19.1765,22-Apr-13
19.1666,23-Apr-13
19.2307,25-Apr-13
19.2079,26-Apr-13
19.2337,29-Apr-13
19.2481,30-Apr-13
19.3279,02-May-13
19.2699,03-May-13
19.2965,06-May-13
19.3457,07-May-13
19.373,08-May-13
19.3796,09-May-13
19.4334,10-May-13
19.3688,13-May-13
19.3836,14-May-13
19.554,15-May-13
19.5876,16-May-13
19.6132,17-May-13
19.5919,20-May-13
19.5401,21-May-13
19.5094,22-May-13
19.3843,23-May-13
19.4155,24-May-13
19.4537,27-May-13
19.4775,28-May-13
19.4366,29-May-13
19.4616,30-May-13
19.3663,31-May-13
19.3573,03-Jun-13
19.346,04-Jun-13
19.3688,05-Jun-13
19.3821,06-Jun-13
19.3454,07-Jun-13
19.3035,10-Jun-13
19.2116,11-Jun-13
19.1957,12-Jun-13
19.1482,13-Jun-13
19.2378,14-Jun-13
19.2911,17-Jun-13
19.2893,18-Jun-13
19.2809,19-Jun-13
19.1541,20-Jun-13
19.1455,21-Jun-13
19.0862,24-Jun-13
19.0736,25-Jun-13
19.0263,26-Jun-13
19.0315,27-Jun-13
19.1658,28-Jun-13
19.2143,02-Jul-13
19.1342,03-Jul-13
19.1918,04-Jul-13
19.2125,05-Jul-13
19.1555,08-Jul-13
19.1685,09-Jul-13
19.1247,10-Jul-13
19.1777,11-Jul-13
19.1912,12-Jul-13
19.1888,15-Jul-13
18.8431,16-Jul-13
18.7968,17-Jul-13
18.8855,18-Jul-13
