Net Asset Value,NAV date
34.153,01-Jan-13
34.1729,02-Jan-13
34.2613,03-Jan-13
34.3274,04-Jan-13
34.41,07-Jan-13
34.4329,08-Jan-13
34.4657,09-Jan-13
34.5191,10-Jan-13
34.5604,11-Jan-13
34.7415,14-Jan-13
34.6974,15-Jan-13
34.6122,16-Jan-13
34.6826,17-Jan-13
34.6885,18-Jan-13
34.6928,21-Jan-13
34.714,22-Jan-13
34.6895,23-Jan-13
34.6685,24-Jan-13
34.7183,28-Jan-13
34.7387,29-Jan-13
34.726,30-Jan-13
34.6959,31-Jan-13
34.701,01-Feb-13
34.6701,04-Feb-13
34.7098,05-Feb-13
34.7328,06-Feb-13
34.7823,07-Feb-13
34.8526,08-Feb-13
34.8514,11-Feb-13
34.8299,12-Feb-13
34.8881,13-Feb-13
34.927,14-Feb-13
34.9069,15-Feb-13
34.9139,18-Feb-13
34.9564,20-Feb-13
34.9381,21-Feb-13
34.9579,22-Feb-13
34.9635,25-Feb-13
34.9284,26-Feb-13
34.9409,27-Feb-13
34.8021,28-Feb-13
34.7512,01-Mar-13
34.7889,04-Mar-13
34.8182,05-Mar-13
34.8684,06-Mar-13
34.8739,07-Mar-13
34.9075,08-Mar-13
34.9186,11-Mar-13
34.8912,12-Mar-13
34.8917,13-Mar-13
34.9664,14-Mar-13
34.9821,15-Mar-13
34.9755,18-Mar-13
34.9424,19-Mar-13
34.9465,20-Mar-13
34.9529,21-Mar-13
34.958,22-Mar-13
34.9999,25-Mar-13
34.9979,26-Mar-13
35.0429,28-Mar-13
35.111,02-Apr-13
35.1507,03-Apr-13
35.1747,04-Apr-13
35.1897,05-Apr-13
35.2312,08-Apr-13
35.2806,09-Apr-13
35.2877,10-Apr-13
35.3138,12-Apr-13
35.3665,15-Apr-13
35.4228,16-Apr-13
35.488,17-Apr-13
35.5803,18-Apr-13
35.6513,22-Apr-13
35.7263,23-Apr-13
35.7119,25-Apr-13
35.7444,26-Apr-13
35.7688,29-Apr-13
35.818,30-Apr-13
35.8868,02-May-13
35.8222,03-May-13
35.8762,06-May-13
35.9611,07-May-13
36.0552,08-May-13
36.2191,09-May-13
36.2823,10-May-13
36.3095,13-May-13
36.5276,14-May-13
36.697,15-May-13
36.7343,16-May-13
36.7943,17-May-13
36.8264,20-May-13
36.8943,21-May-13
36.8809,22-May-13
36.8381,23-May-13
36.9095,24-May-13
36.9247,27-May-13
36.9311,28-May-13
36.8458,29-May-13
36.8131,30-May-13
36.7047,31-May-13
36.7415,03-Jun-13
36.8239,04-Jun-13
36.815,05-Jun-13
36.7948,06-Jun-13
36.7343,07-Jun-13
36.6588,10-Jun-13
36.5673,11-Jun-13
36.5383,12-Jun-13
36.5118,13-Jun-13
36.5431,14-Jun-13
36.6542,17-Jun-13
36.6558,18-Jun-13
36.6599,19-Jun-13
36.5064,20-Jun-13
36.4668,21-Jun-13
36.3598,24-Jun-13
36.35,25-Jun-13
36.245,26-Jun-13
36.2036,27-Jun-13
36.385,28-Jun-13
36.4105,02-Jul-13
36.3203,03-Jul-13
36.3603,04-Jul-13
36.3803,05-Jul-13
36.3268,08-Jul-13
36.3411,09-Jul-13
36.3366,10-Jul-13
36.3901,11-Jul-13
36.3561,12-Jul-13
36.3219,15-Jul-13
35.5574,16-Jul-13
35.556,17-Jul-13
35.716,18-Jul-13
35.7925,19-Jul-13
35.6463,22-Jul-13
35.4663,23-Jul-13
